State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,149119.4,148097.08114035093,147778.31798245618,149743.0799145299,153199.35208333333,156019.03455284555,158459.75892857145,162158.6527131783,163949.6569767442,170361.78100775194,176905.21162790697,185232.735044186
AL,Alabama,98643.64481481485,95513.33701439253,94786.07231280192,92789.24035541754,92437.2215120837,92543.24380385487,91804.73703492456,92373.59835858583,97813.21239047097,101827.92369477915,106433.56024096385,111588.20607818183
AR,Arkansas,68215.50154320986,66316.48919753086,65129.49045291626,66306.27990196078,68631.62845117848,69983.59271284274,72462.50112781956,75871.13363927737,83288.56378353707,87100.1238938053,89597.94867256636,93846.08338392853
AZ,Arizona,115601.23613931189,103041.53802029965,104360.55955135777,116436.8417545995,126313.70179524507,129745.88905160394,136231.6463357859,144832.2667349727,156202.9423333333,166715.74599999987,177952.1063999999,187859.64582400012
CA,California,251283.5052307054,235495.4562861424,230807.2349766223,258117.8699816056,288316.74843214185,306347.19836525276,330213.68259966647,352964.3535272363,386172.96333376755,396390.8312856788,407358.6550260613,427470.16624724254
CO,Colorado,175816.0698360657,167226.0746538872,164548.05948216736,169369.29791522046,178538.6191847857,192608.48022808295,206507.31576227394,221654.4995880287,237284.9949501248,251126.3771820448,259640.444638404,271442.9549795511
CT,Connecticut,182035.7884191176,170533.65968653644,161211.5701194208,161270.8664148352,160714.01836327356,162833.2687014523,162640.32685883227,162933.46376014405,163988.95253968245,165623.17296296294,168179.38933333335,176336.4552026666
DC,DC,295504.98999999993,295592.9208333333,284547.91865079367,306029.4603174603,324328.54761904763,326141.0793650793,335011.12301587313,336669.55681818194,344055.4166666667,350183.51136363635,359146.39545454545,375063.6412727273
DE,Delaware,176575.5242424242,162206.78921568624,159830.78809523812,162264.09943609024,162239.1873611111,162992.32083333336,171630.0528455284,181077.30980066443,186350.69961240314,193295.37596899224,196053.45813953487,206220.78237209303
FL,Florida,95931.81881901319,87485.75523743442,84765.22118463059,91137.66609839755,98971.13246512413,106837.63893629509,115213.3219160422,123858.04803861001,132505.75636028277,139597.92758899674,144832.96601941745,151532.45741407765
GA,Georgia,99687.53656823146,92466.8317642467,88196.17061840979,91058.37240387815,96364.71643716365,101035.3913279133,108478.51508836113,113891.089376697,122340.92098619438,130224.7752023548,135170.64061810146,141294.39609536447
HI,Hawaii,450672.81290322583,402692.54914965975,391801.06395348837,412197.5685897435,415177.64774557156,440689.3477168949,461034.30349099095,483288.4899999998,499487.19111111126,510333.35666666675,519353.48400000005,539389.5261533333
IA,Iowa,89779.24915378954,86204.43844457236,85351.57005847951,79497.55381687242,79348.8271604811,75731.56076773937,78521.1321176975,79834.0155479041,79233.22608638277,81835.44358974365,83654.73179487171,87206.99696957265
ID,Idaho,132150.33790322582,118107.0343621399,115861.30551558752,121661.24628378385,127586.35333333338,132936.4261012492,141477.1516098485,152340.89538631658,166912.57576576583,184045.8243243242,196415.94486486496,206926.94906756756
IL,Illinois,104429.20535655749,95265.78734875488,90041.54878807382,89442.4899620587,91532.4485413137,92569.29285881911,94066.62315873016,96333.10643583721,99346.99394621559,101210.75951164114,102121.6045996594,106411.75578156987
IN,Indiana,77129.58139534877,74468.18788214208,73150.05665604383,72870.17732680698,73328.0450009679,75105.99939434495,76106.6977297897,78713.30080980818,83456.2496094184,88675.71554487181,92097.57419871795,96384.28246394228
KS,Kansas,80679.56195023148,79645.75344939482,76850.69431931931,77092.15014367817,76779.93450663095,77805.04118491182,78476.47644921705,77058.7507544714,77816.32120890374,80790.78603603604,83459.10162162165,87238.1009526027
KY,Kentucky,69185.60661111116,66773.01832345841,62902.56232511447,65763.65381175389,65462.19400936492,66228.74333847738,67641.43149202978,69171.56307098763,72420.75046218147,75673.34261715297,78905.66392572943,82196.48411436174
LA,Louisiana,109605.16352201256,103603.67413043011,101330.12299947525,99158.60574044009,97591.57162309367,96803.94009259259,96026.40236864773,96900.35583941606,95506.95675296008,95800.66501103753,97136.08410596033,101774.40505466665
MA,Massachusetts,218793.64193548408,208514.27175697882,200653.02962025313,208577.52034391524,221192.7963109617,227927.72799977817,236104.30353867615,248927.15946969704,263370.6268717217,270361.22764663777,276763.2087982833,289480.96114442084
MD,Maryland,211257.69057591617,198686.85589056375,191026.03239837405,195590.9593397745,203172.7224102911,202632.18834876548,202480.77289377287,205671.19846389655,213031.63311781592,218038.89978448296,221492.28275862092,231618.22854051722
ME,Maine,153676.34770341203,146134.12089201875,141559.85047770696,142563.2827344435,142902.07891414146,144063.3028469048,145869.05378479706,151118.1087415416,156738.1906565657,163227.69147286814,170856.11302325572,179001.5668227907
MI,Michigan,89488.94494449042,85306.53216902351,84310.9096939281,87371.31736430366,92029.29736024214,95702.3826458579,97957.59733693063,102322.1293022351,110127.13675247697,116005.34235668802,120115.13630573238,125335.58562197443
MN,Minnesota,123235.79024956102,114591.85511363632,109772.3349310717,115488.91098729787,122614.3474663443,127374.9771414937,133094.20646545588,140430.52015209128,148537.5101286723,155773.02643034828,161448.71828358207,168588.73219514923
MO,Missouri,95471.85072021693,89980.92404214562,85304.9599232197,85063.06995240592,85871.8747873471,89057.386171352,90842.89211564483,93445.07049663298,96460.08074445884,100827.55096935584,103851.06941838631,109221.46773958333
MS,Mississippi,87499.08750000004,84771.09452736321,80488.71591591595,78663.64609053498,77293.65031055901,77505.11240981243,77742.57012578617,78646.07594219505,80741.52135701274,83642.98428961748,85652.3024590164,89479.4677762295
MT,Montana,177598.80395061735,170810.75250000003,168020.77063218385,175282.13726140244,181668.20781249995,185958.52610535527,190914.61881578944,197102.50744558993,205562.56305810213,215813.55147058822,225261.33186274514,236618.84545490198
NC,North Carolina,115328.09267744825,108582.37441247923,104098.43644482702,102689.54448512144,103771.72557522274,103108.77105656573,105702.71824827226,110314.28320421907,116239.18760762614,122477.55181426811,126765.83173431737,132873.8285861624
ND,North Dakota,76982.27142857143,79146.45833333333,82033.81000000001,97177.69951499117,102624.97894736842,102574.51014492754,98250.06597542245,99233.90235690236,100338.46047619049,100962.11190476187,101554.01142857142,105161.9233742857
NE,Nebraska,112843.7021950113,109297.11771619396,107538.28230837797,108876.3792083334,111307.26747181966,113177.01897514246,115994.01725694448,119962.96705404382,124992.1600227591,130994.00612745096,134900.09007352934,140931.38162463228
NH,New Hampshire,139692.30502838604,138432.768863179,133866.5223978026,136513.66145194264,139515.88094315256,142376.3288945044,148451.16819571864,154686.28843226793,165063.07952815839,172934.34550989344,180521.479452055,188879.2394027398
NJ,New Jersey,229798.9155753969,216086.1166040101,203764.95571428558,202055.67055739518,211517.76467289025,215992.55424382733,218301.54990644788,219720.83987575964,228056.20572623872,233714.76616915406,238341.9261194029,248908.0088029847
NM,New Mexico,150558.738,141907.51499278506,134398.24064327485,136239.6709039548,141197.72512820514,130611.2660843732,130611.57957875458,133988.79768518513,138232.83223322334,146157.02722772272,151427.33168316833,158455.27208712877
NV,Nevada,113883.72533577535,100890.8350980392,97632.82669082128,111247.80520833335,126155.89663299666,133800.07467948724,142525.75974842766,160640.7507440476,180466.15606725137,196584.89400584804,202529.87192982447,211746.26379736833
NY,New York,181940.00901398095,179875.4017227233,176150.64918249456,178640.0292651747,186366.0941848976,193631.05892581158,199691.09202809655,204958.5739201146,214718.6156411162,220821.15914056846,222561.24420975984,230516.07243001458
