RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10025,8596,NY,528938.4,581123.5833333335,589117.4166666665,609526.4166666665,654797.1666666665,705470.4166666665,717877.0833333335,747841.0833333335,750784.5833333335,723274.8333333335,704238.2,719731.4404
60657,2210,IL,217140.2,197880.91666666663,183856.8333333333,187978.5833333333,207377.5,209162.3333333333,212134.16666666663,219537.75,224372.25,222287.16666666663,220493.1,229312.824
10023,8596,NY,644455.5,679147.0833333335,688400.0833333335,729054.0,828146.1666666665,877341.9166666665,892179.25,883302.5833333335,862936.9166666665,828377.1666666665,799186.9,833551.9367
60614,2210,IL,241305.0,225496.91666666663,212790.0,220309.91666666663,235458.41666666663,240155.91666666663,245065.25,252688.75,256137.5,255581.58333333328,251688.2,261000.6634
77449,6123,TX,94089.7,88411.33333333331,79482.83333333331,83047.0,93753.5,105631.08333333331,114856.25,118540.83333333331,124213.41666666669,132142.25,135395.7,141623.9022
10002,8596,NY,440077.2,476893.58333333326,471795.16666666674,498593.66666666674,521414.33333333326,585427.8333333335,665585.3333333335,717359.9166666665,728822.4166666665,692196.1666666665,694180.0,710840.3200000002
77084,5682,TX,44234.5,41213.583333333336,37324.333333333336,39362.91666666666,47832.5,52677.91666666666,59847.25,68915.0,73265.25,76057.58333333331,77255.4,80886.40379999999
79936,3628,TX,113937.9,112376.58333333331,110956.0,112187.66666666669,114372.08333333331,112904.5,115233.83333333331,119612.5,122037.83333333331,128744.16666666669,131413.4,136932.7628
60640,2210,IL,147420.6,131075.5,112891.08333333331,117738.83333333331,131312.5,134881.83333333337,138388.91666666663,148772.58333333337,152849.16666666663,154021.75,156249.2,163124.16480000006
11226,8596,NY,362051.3,342283.75,334782.66666666674,353337.5,358329.5,391952.0,431209.0,444456.16666666674,468939.16666666674,479159.0,470253.2,484831.0492
10467,8596,NY,134382.6,129500.33333333331,116211.41666666669,104407.58333333331,101572.16666666669,110567.66666666669,115839.25,138586.08333333337,150486.0,156457.25,167984.2,175375.50480000002
78660,9580,TX,163924.6,157979.75,158841.83333333337,168000.16666666663,184465.16666666663,201414.5833333333,221510.66666666663,236656.83333333328,249323.83333333328,261375.66666666663,276403.4,291605.587
94109,10841,CA,591305.8,555865.75,556414.0,651369.3333333335,710737.0,765790.4166666665,814633.3333333335,796522.0,836925.0833333335,839929.4166666665,859592.4,891397.3188
10016,8596,NY,666408.0,711057.3333333335,707671.5,711919.3333333335,753917.25,795760.9166666665,808445.75,817193.9166666665,814867.8333333335,781214.8333333335,749307.5,761296.42
32162,12057,FL,119475.4,115910.5,112062.08333333331,124476.5,136182.16666666663,144750.08333333337,145464.66666666663,147564.16666666663,152897.83333333337,160591.83333333337,166726.8,174729.6864
60647,2210,IL,227792.7,209178.25,191400.16666666663,199400.91666666663,221376.0833333333,228686.58333333328,244826.58333333328,263001.0,272411.0,277200.83333333326,279754.1,293741.805
