37,Ackley,IA,95917.9,95799.08333,94318.75,98128,103723.4167,110311.75,114897.25,118406.25,125023.0833,127656.25,129187.3,134613.1666
38,Ackworth,IA,193327.2,176654.0833,171168.25,170744.9167,175464.6667,183528.9167,188786.5833,193936.25,200944.5,214365.4167,224613.3,235619.3517
39,Acme,WA,239083.8,220486.0833,201070.3333,201590.5833,212910.75,234657.0833,257262.0833,281804.9167,311320.4167,336334.3333,351908.4,367392.3696
40,Acton,CA,400767.3,385755.6667,374057,427381.3333,473336.6667,500957.75,542803,567118.4167,602323.6667,612879.6667,629779.6,663157.9188
41,Acton,MA,370658.25,362119.7917,349379.5417,365322.5833,379427.9167,390925.4167,408578.625,426732.0833,459643.0417,471351.4167,474868.5,492805.9967
42,Acton,ME,204759.5,204575.3333,199724.25,204288.0833,209519.9167,202108.4167,215153.0833,232754.0833,251993.1667,261198.9167,279262.8,291271.1004
43,Acton,MT,208047.7,207431.1667,205001.25,220327.75,236306.1667,226450.6667,222285.75,234261,237264.5833,246523.4167,267975.3,277622.4108
44,Acushnet,MA,267021.4,252362.5,237638.4167,243779.5833,254520.4167,262213.75,273750.9167,294202.3333,307087.9167,321215.5,328193.7,345587.9661
45,Acworth,GA,174632.6,153636,150545.5,163000.4167,180484.5833,189970.25,202183.5417,214009.25,232140.5417,247580.2083,258969.95,271757.5739
46,Acworth,NH,,122154,135498.0556,135511.4583,141526.9167,147642.0417,153793.5417,159890.125,165055.5417,170825.0833,176665.8,183635.7018
47,Ada,MN,,,,,62461.85714,64664.33333,71862.41667,79727.58333,84767.33333,88268.16667,91339.9,94902.1561
48,Ada,OH,101914,101084.9167,100774.8333,101065.3333,104352.6667,108427,114198.0833,120639.75,128535.75,135943.9167,140182.5,146490.7125
49,Ada,OK,73560.8,75745.75,78950.91667,80550.91667,80388.33333,85371.41667,92022.16667,94968.08333,100622.25,98782,104291.3,108462.952
50,Adair,IA,86789.1,86123.41667,86340.75,88174.91667,87562.58333,89336.33333,92838.08333,95021.75,98964.75,103722.0833,106979.3,111900.3478
51,Adair,IL,45167.3,45393.5,44654.66667,44380.75,48665.33333,51468.75,53941.83333,56396.83333,60223.08333,62668.33333,65675.7,68171.3766
52,Adair,OK,104898.8,103254.8333,104651.5833,106100.5833,109752.6667,113798.1667,118993.3333,123570.3333,131056.9167,137198.5,142709.5,148703.299
53,Adairsville,GA,115311.1,107862.1667,103311.1667,107152.6667,114402.25,121653.9167,129616.5833,139983.5,152639.0833,167377.1667,174742.1,183828.6892
54,Adairville,KY,68117.1,68440.41667,68890.25,69744.58333,71587.16667,74644.75,78585,82920.16667,88112.58333,92574.25,94261.2,95863.6404
55,Adams,KY,,,,,,,,,173310.7143,174300.75,168049.4,170570.141
56,Adams,MA,149511,147544.1667,137388.5,137591.3333,138069.3333,140806.0833,139353.75,142277.8333,146745.75,153647.5833,157360.8,163812.5928
57,Adams,MN,117555.9,113589.1667,112906.6667,115553.6667,119968.75,124972.1667,135480.1667,144018.9167,150098.0833,154987.9167,161766,170016.066
58,Adams,ND,,,,,,,41745.55556,49575.25,52377.66667,51019.08333,50477.5,52143.2575
59,Adams,NE,144483.3,147098,149564.5833,154882.9167,161010.5833,168231.6667,175523.1667,187222.6667,199416.4167,211573.3333,220032.6,229494.0018
60,Adams,OK,,,,,,,,69556,72957.66667,75691.33333,79246.8,83288.3868
61,Adams,OR,147611.6,144791.25,145572.0833,156617,171238.8333,185391.75,206239.9167,230561.5,250931.75,257566.5833,261537.3,274091.0904
62,Adams,TN,212795.1,212791.1667,213124.8333,216413.4167,225622.8333,228616.3333,232048.25,241300.8333,255746,268225.5,283428,299866.824
63,Adams,WI,77836,76182.41667,75203.5,73947.83333,72296.41667,74407.75,77838.75,80528.25,84964.5,88974.5,91774.4,95261.8272
64,Adams Center,NY,129982.85,132174.875,141702.7083,143208.875,143617.9583,143972.4167,142990.1667,149070.8333,152633.0833,154874.5833,152971.05,157897.4006
65,Adams Run,SC,,,,138716,140430.25,157004.4167,159285.5,140344.3333,159667.5833,171514.9167,184816.2,192763.2966
66,Adams Township,PA,,,131879.1667,130199.2917,126635.5417,130253.0417,134139.5833,146601.3333,143319.6667,142878.1667,148969.25,157647.1467
67,Adamstown,MD,394590,375057.5833,375725.5,397102.75,418904.9167,417863,421010.1667,445244.9167,454522.8333,459164.5833,458675.9,477940.2878
68,Adamstown,PA,183949.5,174503.5833,169137.9167,170894.5,173694.8333,172695.5833,178015.25,183172.1667,192751.75,195201.6667,200472.5,209493.7625
69,Adamsville,AL,83527.5,75729.33333,69729.41667,71519.08333,74234.83333,75662.83333,77774.58333,78589.41667,87113.58333,96214.41667,104525.1,106615.602
70,Adamsville,OH,86795.8,83278.16667,82257.25,84288.41667,87103.5,90709.25,94605.58333,100138.6667,105988,110520.4167,116563.6,122275.2164
71,Adamsville,TN,77706.1,75473.58333,74870.91667,75250.08333,77625.75,80519.5,84642.33333,89515.75,95005,99026,102686.3,107101.8109
72,Addieville,IL,103184.9,99718.16667,97017,100568.3333,105233.75,110294.0833,114695.25,120569.75,126077.75,133050.8333,137480.5,143942.0835
73,Addis,LA,171070.2,174380.5,176942.8333,179896.6667,184301,190696.8333,197383.8333,203207.1667,207516.5833,214485.25,219491.6,228051.7724
74,Addison,AL,86745,84635.08333,82229.08333,81534.83333,79312.5,80808.83333,79167.16667,83218.58333,89221.75,96284.58333,101031,105476.364
75,Addison,IL,230019.5,207147.9167,188055.6667,197331.1667,214666.75,223571.5,229049.5,243345,253417.6667,258675.4167,261388.6,271582.7554
76,Addison,ME,122148.8,121804.0833,112279.6667,108091.0833,104878,104166.8333,107532,111633.75,120266.9167,125705.3333,132504.5,139659.743
77,Addison,MI,132900.9,127017.5,124340.25,128672.6667,137668.25,140401.75,150110.75,158200.8333,166140.9167,174214.4167,170245.4,179438.6516
78,Addison,TX,244904.4,237142.4167,240838.5,252195.6667,268373.3333,284507.3333,307394.5,332532.5,347870.3333,353353.5833,354799.1,369345.8631
79,Addison,WI,200592.2,183744.8333,173085.6667,173721.4167,181350.3333,191561.6667,204428.75,212123,218370.5833,233255.3333,242138.9,252308.7338
80,Addison (Webster Springs),WV,,,,,,,34616.14286,35965.25,37723.41667,39077.91667,39437.4,40778.2716
81,Addison Township,PA,97859.65,95188.875,93830.79167,95809.25,97348.08333,99179.33333,103215.8333,109754.375,117335.5833,121899.125,126935.05,133718.3761
82,Addy,WA,164884.8,159988.9167,162470.0833,171463.25,183821.4167,202027.8333,218693.6667,239291.3333,254402.3333,261786.0833,269243.5,281628.701
83,Addyston,OH,,,,,,,42017.66667,42737.83333,43985.25,42867.33333,46595.7,50090.3775
84,Adel,GA,76245.9,70892.91667,67770.16667,70096.75,75381.25,80524.91667,86119.41667,91317.41667,95695.41667,100701.9167,103609,108271.405
85,Adel,IA,221724.9,226997.4167,239996.9167,241887.3333,244239.5,246633.1667,260207.3333,273500.8333,284897.9167,292706.3333,295993.8,309313.521
86,Adelanto,CA,98247.6,96981.25,95197.08333,116981.8333,149559.6667,160823.6667,173561,192549.1667,215451.5,228490.3333,238032,250647.696
87,Adelphi,OH,55486.2,54438,53634.5,52148.83333,53859,58318.16667,60953.75,67061.41667,71356.91667,77279.83333,86280.9,90940.0686
88,Adena,OH,50667.9,52603.33333,52337.16667,51686.66667,55416.25,59750.91667,63774.83333,66470.66667,70050.08333,73368.33333,77981,81646.107
89,Adin,CA,76694.8,78555.75,77687.25,89164.41667,105502.9167,118569.4167,126085.5833,130888.5833,135746.6667,137672.4167,135638.4,139707.552
90,Adkins,TX,193109.5,190906.6667,193749.25,202830.5833,217445.0833,234740.8333,248408.1667,267719.8333,284077.75,297368.75,301434.7,312587.7839
91,Admire,KS,97337.1,98403.66667,104964.3333,99688.75,103115.25,110724.1667,116808.5,117315.6667,127582.75,126633,120992.8,125953.5048
92,Adolphus,KY,56336.6,53022.08333,51755.08333,50763.75,51687.58333,54522.58333,57156.16667,61024.33333,66309.66667,73064,76330.8,79842.0168
93,Adona,AR,56156.9,56231.91667,53729.91667,52741,54050.33333,56228.75,60108.91667,63082.33333,66768.75,69018.16667,65142.2,65663.3376
94,Adrian,GA,52389.9,49454,47350.25,49215.58333,53722.25,57918.41667,62208.33333,64795.83333,69146.25,74474.41667,78005.5,81203.7255
95,Adrian,MI,90449.2,85833.58333,83208.58333,86218.66667,92114.16667,101139.3333,106930.8333,114753.5833,124307.5833,130885.9167,138581.9,145095.2493
96,Adrian,MN,97720.1,93318.58333,88574.25,91798.66667,93533.5,96671.91667,77454.2,82623.29167,90531.33333,95229.45833,102135.3,106161.8204
97,Adrian,MO,115842.4,111927.8333,110756.3333,107494.5833,106593.8333,113090.5833,118091.75,125164.9167,136016.75,143843.75,149443.3,156018.8052
98,Adrian,OR,144201.1,137101.75,132538.4167,141384.3333,160621.6667,180010.1667,202488,229869.0833,251995.1667,262708.75,259075.8,263480.0886
99,Advance,IN,,,,79927.75,83046.16667,88556.5,91424.33333,91947.58333,99442.5,117526.75,128548.1,133304.3797
100,Advance,MO,63798.5,64654.58333,69042.5,71006.25,73244.25,76470.41667,80036.83333,87786,94925.58333,98753.16667,102419.7,106823.7471
101,Advance,NC,216085.6,209140.75,204716.3333,206246.0833,210950.1667,218634.0833,226738.5,237886.8333,251193.3333,262762.8333,270765.4,282949.843
102,Affton,MO,145753.5,136622.5833,129020.3333,131016.5833,132994.5,135874.4167,142282.8333,150976,157185.5,164025.5833,168197.3,178289.138
103,Afton,IA,85512.6,83344,85315.08333,86048.75,84224,85522.58333,89432.33333,91011.83333,92024.08333,96109.25,98240.3,102169.912
104,Afton,MI,,,58935,59597,61941.08333,65423.5,67523.5,72602.58333,79083.83333,89760.75,95149.4,97908.7326
105,Afton,MN,416823.2,411133.1667,388399.5833,409000.5833,438009,439339.1667,461320.0833,465956.8333,489530.0833,498884.5833,519883.7,546917.6524
106,Afton,OK,157739.6,155744.3333,159848.3333,166944.3333,170480.25,173191.6667,181904.9167,189568.1667,196569,203201.5,213193.4,221507.9426
107,Afton,VA,246538.5,237619.5,234305.5,236001,240309.6667,248369.5,256657.8333,263556.8333,274641.3333,284598.5833,290671.3,302007.4807
108,Agate,CO,207920.7,201821.5833,198058.9167,205967.3333,219455.4167,251207.75,279552.5,305640.4167,331332.5,346047.1667,357127.8,373198.551
109,Agawam,MA,220641.7,212454.2917,205675.375,204007.5833,204684.625,209219.1667,213437.9583,220902.375,231923.3333,237786.4583,248083.75,260088.6722
