RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10025,New York,NY,528938.4,581123.5833333334,589117.4166666666,609526.4166666666,654797.1666666666,705470.4166666666,717877.0833333334,747841.0833333334,750784.5833333334,723274.8333333334,704238.2,719731.4404
60657,Chicago,IL,217140.2,197880.91666666666,183856.83333333334,187978.58333333334,207377.5,209162.33333333334,212134.16666666666,219537.75,224372.25,222287.16666666666,220493.1,229312.82400000002
10023,New York,NY,644455.5,679147.0833333334,688400.0833333334,729054.0,828146.1666666666,877341.9166666666,892179.25,883302.5833333334,862936.9166666666,828377.1666666666,799186.9,833551.9367
60614,Chicago,IL,241305.0,225496.91666666666,212790.0,220309.91666666666,235458.41666666666,240155.91666666666,245065.25,252688.75,256137.5,255581.58333333334,251688.2,261000.6634
77449,Katy,TX,94089.7,88411.33333333333,79482.83333333333,83047.0,93753.5,105631.08333333333,114856.25,118540.83333333333,124213.41666666667,132142.25,135395.7,141623.9022
10002,New York,NY,440077.2,476893.5833333333,471795.1666666667,498593.6666666667,521414.3333333333,585427.8333333334,665585.3333333334,717359.9166666666,728822.4166666666,692196.1666666666,694180.0,710840.3200000001
77084,Houston,TX,44234.5,41213.583333333336,37324.333333333336,39362.916666666664,47832.5,52677.916666666664,59847.25,68915.0,73265.25,76057.58333333333,77255.4,80886.40379999999
79936,El Paso,TX,113937.9,112376.58333333333,110956.0,112187.66666666667,114372.08333333333,112904.5,115233.83333333333,119612.5,122037.83333333333,128744.16666666667,131413.4,136932.7628
60640,Chicago,IL,147420.6,131075.5,112891.08333333333,117738.83333333333,131312.5,134881.83333333334,138388.91666666666,148772.58333333334,152849.16666666666,154021.75,156249.2,163124.16480000003
11226,New York,NY,362051.3,342283.75,334782.6666666667,353337.5,358329.5,391952.0,431209.0,444456.1666666667,468939.1666666667,479159.0,470253.2,484831.04919999995
10467,New York,NY,134382.6,129500.33333333333,116211.41666666667,104407.58333333333,101572.16666666667,110567.66666666667,115839.25,138586.08333333334,150486.0,156457.25,167984.2,175375.50480000002
78660,Pflugerville,TX,163924.6,157979.75,158841.83333333334,168000.16666666666,184465.16666666666,201414.58333333334,221510.66666666666,236656.83333333334,249323.83333333334,261375.66666666666,276403.4,291605.587
94109,San Francisco,CA,591305.8,555865.75,556414.0,651369.3333333334,710737.0,765790.4166666666,814633.3333333334,796522.0,836925.0833333334,839929.4166666666,859592.4,891397.3188
10016,New York,NY,666408.0,711057.3333333334,707671.5,711919.3333333334,753917.25,795760.9166666666,808445.75,817193.9166666666,814867.8333333334,781214.8333333334,749307.5,761296.42
32162,The Villages,FL,119475.4,115910.5,112062.08333333333,124476.5,136182.16666666666,144750.08333333334,145464.66666666666,147564.16666666666,152897.83333333334,160591.83333333334,166726.8,174729.6864
60647,Chicago,IL,227792.7,209178.25,191400.16666666666,199400.91666666666,221376.08333333334,228686.58333333334,244826.58333333334,263001.0,272411.0,277200.8333333333,279754.1,293741.805
11201,New York,NY,494468.6,504770.0833333333,514475.9166666667,555377.25,633656.4166666666,666499.5833333334,697912.9166666666,713627.0,737506.0833333334,740287.0833333334,718823.2,736793.7799999999
