index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aberdeen,MD,207574.3,196104.25,186377.25,178711.08333333337,179337.75,177206.08333333337,178317.41666666663,184613.3333333333,191661.0,194411.75,200643.3,209672.2485
1,Aberdeen,NC,189425.8,183284.16666666663,179862.66666666663,181410.41666666663,184666.0,178985.25,178554.0,188756.3333333333,187414.0,193319.3333333333,212144.9,223388.5797
2,Aberdeen,SD,135510.3,135707.5,139061.75,158489.5,153192.66666666663,162522.83333333337,172494.5,182056.25,186932.5833333333,185889.3333333333,185306.2,192162.5294
3,Aberdeen,WA,,,,,104788.25,105471.91666666669,107950.58333333331,128353.83333333331,147779.66666666663,156988.08333333337,159153.8,171567.7964
4,Abilene,KS,121363.8,122657.83333333331,120831.33333333331,132697.75,140766.16666666663,147620.5,156275.75,159051.16666666663,162071.83333333337,168709.25,164224.2,171450.06480000002
5,Abilene,TX,91781.875,87541.02083333333,87128.14583333333,85708.20833333333,89404.12500000001,90688.52083333334,94680.47916666666,96718.25,95075.70606060604,100258.54999999999,107028.73999999999,112201.60751999999
6,Abingdon,MD,222515.7,214146.5,197760.8333333333,191759.41666666663,191775.91666666663,187547.0833333333,189565.25,191015.66666666663,196737.25,200053.91666666663,207680.9,217857.2641
7,Abingdon,VA,163900.55,161570.5833333333,159133.04166666666,160744.125,159575.83333333334,159429.08333333334,161223.12499999997,167544.5833333333,172432.5,180217.83333333334,181886.90000000002,189162.37600000002
8,Abington,MA,242745.4,235343.75,224860.16666666663,227985.91666666663,244182.41666666663,251966.83333333328,267171.83333333326,283132.25,300148.66666666674,311045.58333333326,322703.1,339483.6612
9,Abington Township,PA,163204.45,157912.33333333334,150537.0,124307.30555555556,126210.4722222222,128069.11111111111,127495.47222222223,122005.95833333333,132451.7291666667,138369.77083333334,136928.95,143768.22875
10,Abita Springs,LA,142555.8,158104.91666666663,146447.0,150517.25,153327.08333333337,152241.75,160079.0,164496.91666666663,172068.25,168080.66666666663,173159.5,181471.156
11,Absecon,NJ,111284.8,103309.66666666669,92352.16666666669,89834.0,90181.16666666669,83427.33333333331,79221.16666666669,83563.16666666669,85136.58333333331,90010.08333333331,91398.6,96242.7258
12,Accokeek,MD,,273873.5,269284.0,268685.25,301777.5,318403.33333333326,331593.58333333326,342947.41666666674,345619.0,335358.41666666674,348725.9,367208.3727
13,Acton,CA,,321553.25,312285.5,321656.0,315621.33333333326,345660.0,360038.08333333326,366961.25,377314.25,386391.83333333326,399957.6,421155.3528
14,Acton,MA,258469.05,244752.5833333333,233118.87499999994,241460.99999999994,248330.125,254338.49999999994,268375.25,283841.1666666666,314619.9583333334,328254.5,331775.5,343415.13325
15,Acworth,GA,128654.9,108751.45833333334,97683.66666666669,104795.29166666666,120842.75,133143.1666666667,143241.9166666667,154102.125,168687.4166666667,184295.29166666666,193447.09999999998,203025.29075
16,Ada,OH,,,,,,139642.7,147782.25,159348.33333333337,167091.5,176880.0,180390.7,188508.2815
17,Ada,OK,60241.2,59958.58333333334,60996.08333333334,65143.58333333334,66306.83333333331,70329.66666666669,74889.91666666669,76889.08333333331,79776.25,80897.25,88204.8,91732.992
18,Adairsville,GA,92304.8,86044.0,82165.41666666669,83957.41666666669,88765.75,86439.75,85642.25,89263.83333333331,97771.33333333331,108475.33333333331,117147.9,123239.5908
19,Adams,MA,167374.9,161552.41666666663,156761.0,165294.25,172814.33333333337,171605.83333333337,168804.41666666663,163323.91666666663,159904.83333333337,166068.75,165364.9,172144.86089999994
20,Addison,IL,156276.2,134869.08333333337,120727.16666666669,121600.66666666669,136916.41666666663,150496.58333333337,156476.66666666663,163473.33333333337,174099.91666666663,177321.75,180168.1,187194.6559
21,Addison,TX,169309.0,163704.75,164209.08333333337,169035.08333333337,179792.0,190107.41666666663,207477.41666666663,230740.58333333328,248460.08333333328,255627.08333333328,260340.4,271014.3564
22,Adel,GA,39040.5,34871.083333333336,32879.166666666664,33785.583333333336,36975.75,43008.5,48881.0,48148.91666666666,42941.91666666666,42618.66666666666,50453.5,52723.9075
23,Adrian,MI,127223.2,122713.5,122214.75,127179.58333333331,131110.16666666663,137114.25,137844.41666666663,149680.5,155807.58333333337,161490.0,178392.4,186776.8428
24,Advance,NC,136742.6,132364.33333333337,128500.83333333331,121508.33333333331,118826.83333333331,123698.08333333331,121230.58333333331,122821.83333333331,130380.83333333331,134159.91666666663,138770.1,145014.7545
25,Affton,MO,100906.4,93072.0,84706.25,85091.33333333331,85230.33333333331,87699.75,90371.0,96626.91666666669,101815.91666666669,106761.83333333331,110205.5,116817.83
26,Afton,OK,,,,,180244.0833333333,174998.41666666663,195180.91666666663,208243.5,211811.0833333333,207948.5833333333,225928.0,234739.192
27,Agawam,MA,159362.1,150195.83333333337,141948.83333333337,138147.41666666663,139839.41666666663,141416.58333333337,143536.58333333337,144748.5,153067.08333333337,153254.25,157721.8,165607.88999999998
28,Agoura Hills,CA,477941.8,449729.58333333326,436162.08333333326,503712.16666666674,565604.6666666665,580924.9166666665,611818.5,632851.25,680159.25,682981.0,701975.1,736371.8798999998
29,Aiea,HI,309857.1,322629.83333333326,306105.08333333326,310371.5,346548.08333333326,365780.25,383748.75,407800.66666666674,426812.08333333326,431914.0,429750.6,443502.6192
30,Aiken,SC,107889.15,104422.375,101439.08333333331,103701.41666666666,102571.58333333334,104661.04166666666,106455.625,108903.5,114532.58333333331,120523.79166666669,126245.2,133787.1756
31,Aitkin,MN,66974.7,65471.33333333334,62028.08333333334,64745.83333333334,69002.83333333331,67162.83333333331,71712.58333333331,74474.33333333331,77903.83333333331,83022.75,88092.2,91351.6114
32,Akron,OH,111921.89999999998,107354.13888888888,103149.875,106704.43055555555,107694.05555555556,102672.99149659865,94001.64583333334,96775.89583333331,101093.79166666669,104479.9375,110362.0625,116061.78602499998
33,Akron,PA,,,,118528.0,118547.75,125531.33333333331,134196.5,135013.91666666663,137530.08333333337,135555.33333333337,141788.4,148594.2432
34,Alabaster,AL,120751.8,108401.66666666669,96919.0,100270.25,98685.25,101391.66666666669,103553.33333333331,108157.75,114288.83333333331,122053.83333333331,129359.7,135957.0447
35,Alachua,FL,142083.9,118247.58333333331,109936.66666666669,106949.33333333331,116327.0,119750.75,119768.83333333331,126736.75,130552.91666666669,139675.0,150408.7,157628.3176
36,Alameda,CA,438125.0,413258.0833333334,409045.8333333334,508047.66666666674,597702.5833333333,656406.2083333334,735807.875,796472.4583333335,859113.625,852016.0,875644.65,914247.3932
37,Alamo,CA,490478.3,456774.75,455329.08333333326,537080.6666666665,622786.0,658508.5833333335,748780.0833333335,781846.0833333335,819977.9166666665,819065.9166666665,790159.2,832037.6375999999
38,Alamogordo,NM,,,,,,85789.5,89668.25,86913.0,88749.83333333331,88835.25,91318.6,95153.9812
39,Alamosa,CO,,121136.4,117553.75,140749.58333333337,158100.75,177368.41666666663,194063.3333333333,215387.91666666663,218404.66666666663,242480.08333333328,258732.3,268564.1274
40,Alanson,MI,115717.1,131334.29166666666,132837.04166666666,133869.20833333334,135096.1666666667,143054.9583333333,149973.0833333333,157455.5833333333,168840.125,175451.62499999997,182321.8,188667.56415
41,Albany,CA,326477.4,295600.25,300110.25,335909.0,400788.91666666674,446526.41666666674,490635.16666666674,521383.16666666674,589749.8333333335,585654.75,588284.8,623581.8879999999
42,Albany,GA,88895.65,84222.29166666666,81039.33333333333,83860.66666666666,88969.79166666669,95038.04166666666,103818.41666666666,109595.33333333331,115050.62500000003,119506.54166666666,119081.8,123026.80705
43,Albany,NY,169584.2333333333,167298.63888888888,157329.55555555553,157971.77777777775,157019.4166666667,156655.49999999997,134494.47916666666,139595.1875,148608.5,153053.0833333333,151844.65,160018.751175
44,Albany,OR,126130.15,120027.91666666666,119024.20833333334,126113.58333333334,133138.79166666666,138942.5833333333,146101.70833333334,161650.20833333334,185599.3333333333,199440.74999999994,211779.34999999998,222601.49164999998
45,Albert Lea,MN,89058.1,84640.0,83802.41666666669,86481.41666666669,89573.91666666669,91996.5,95083.25,99183.41666666669,103389.08333333331,106957.33333333331,112102.7,116362.6026
46,Albertville,MN,136352.1,118082.33333333331,112379.66666666669,130221.91666666669,142843.83333333337,149376.83333333337,162887.91666666663,171932.91666666663,183883.5,195072.25,204854.3,215711.5779
47,Albuquerque,NM,149648.68666666665,139954.5,136324.41111111108,138507.65555555557,139319.74444444443,138011.45,139031.14444444448,143658.49444444443,148288.49999999997,156356.8333333333,164401.02000000002,174092.60372
48,Alburgh,VT,199898.3,198714.5,197554.0,200714.41666666663,198989.5,201215.8333333333,208339.16666666663,213274.16666666663,223027.91666666663,230600.66666666663,229621.1,238117.0807
49,Alburtis,PA,198685.2,191805.5833333333,182817.75,186781.91666666663,191046.75,190268.75,193948.5,199411.66666666663,209229.3333333333,220056.75,231534.3,242184.8778
50,Alcoa,TN,100034.3,91491.33333333331,89710.41666666669,92805.08333333331,92152.41666666669,94481.25,100374.58333333331,106700.66666666669,113783.5,128093.08333333331,135069.5,141552.836
51,Aldie,VA,277585.7,271785.5,278614.5,297735.83333333326,313666.5,318536.25,319208.75,327846.41666666674,340226.25,349743.33333333326,363307.1,384378.9118
52,Alexander City,AL,294881.5,283306.75,299418.83333333326,308123.41666666674,312077.83333333326,323163.83333333326,325083.83333333326,319199.41666666674,332967.16666666674,347928.33333333326,354323.6,370976.8092
53,Alexandria,IN,122038.1,123519.58333333331,122491.08333333331,121555.83333333331,126357.16666666669,123674.16666666669,120206.08333333331,123452.66666666669,132498.0,140797.16666666663,147812.8,157716.25759999998
54,Alexandria,KY,48880.5,45499.16666666666,42708.333333333336,46657.08333333334,54086.0,55045.0,57093.33333333334,60985.16666666666,69396.75,77801.41666666669,81161.7,84813.97649999999
55,Alexandria,LA,104666.75,100454.75000000003,99753.625,100783.25,104002.99999999997,106941.66666666666,111156.16666666666,111174.83333333334,106836.08333333333,103219.72222222223,99727.20000000001,104098.69566666668
56,Alexandria,MN,110521.9,106563.16666666669,105320.83333333331,108631.33333333331,113629.41666666669,117843.5,123142.25,130371.41666666669,138516.08333333337,146231.08333333337,151507.1,158021.90529999998
57,Alexandria,VA,285952.27142857143,279364.95238095237,273714.15476190473,284969.7857142857,295150.73809523805,296391.0952380952,297726.21428571426,302793.77380952385,309392.3095238096,322207.03571428574,344001.7,362683.6086571428
58,Algoma,WI,131759.8,132807.5,129857.5,132286.33333333337,133627.91666666663,134860.16666666663,139670.33333333337,148665.66666666663,155126.0,161550.91666666663,167057.8,173573.05419999998
59,Algona,IA,86454.57142857142,91237.33333333331,107155.5,116768.16666666669,120247.33333333331,127792.0,144131.5,145962.58333333337,144652.5,142744.25,143411.8,149291.68379999994
60,Algonac,MI,65490.1,60152.5,70978.0,79906.25,101018.16666666669,125488.41666666669,126452.58333333331,140634.41666666663,210782.4166666667,225293.2916666667,227624.8,238416.71964999998
61,Algonquin,IL,173988.5,156026.58333333337,137590.0,130646.5,143808.58333333337,153777.33333333337,158042.58333333337,169772.33333333337,180281.5,185462.25,186296.1,193747.944
62,Alhambra,CA,377229.80000000005,358310.7083333334,346075.75,390446.4166666666,430528.25,439406.95833333326,462598.2083333334,491000.9166666666,537105.0833333333,558335.1666666665,566571.6000000001,598006.64835
63,Alice,TX,87904.9,88057.41666666669,89974.25,94143.41666666669,101205.58333333331,108345.08333333331,113239.16666666669,121539.16666666669,126792.5,130553.16666666669,135067.5,140200.065
64,Aliso Viejo,CA,367587.0,339061.75,320602.91666666674,387678.75,443181.08333333326,453520.08333333326,477475.58333333326,507411.75,539653.0833333335,540933.8333333335,549544.9,574274.4205
65,Allegan,MI,118822.9,114353.75,109358.16666666669,111341.25,115278.33333333331,126549.0,136649.33333333337,149035.33333333337,147459.16666666663,151072.0,161888.8,169659.4624
66,Allen,TX,165294.15000000002,158914.375,160827.875,169446.41666666663,184834.9166666667,202869.1666666667,223022.625,239963.8333333333,253138.0833333333,252431.49999999994,253332.44999999998,264577.43655
67,Allen Park,MI,64557.8,62367.83333333334,63302.5,65562.16666666669,67791.83333333331,64595.16666666666,65425.16666666666,71220.0,73745.41666666669,83030.91666666669,86895.4,92282.9148
68,Allendale,MI,162798.2,165963.33333333337,162220.66666666663,165211.58333333337,168959.75,182317.41666666663,196732.75,208617.25,230184.75,250187.16666666663,261325.1,270732.80360000004
69,Allendale,NJ,446154.1,425158.66666666674,393412.41666666674,415837.16666666674,429298.58333333326,444881.58333333326,461217.5,470287.83333333326,468368.33333333326,469176.83333333326,475381.8,494872.4538
70,Allentown,PA,103770.26666666666,92588.75,79872.9722222222,75870.41666666667,79633.38888888889,85847.54166666666,88752.64583333333,91701.39583333334,97922.29166666667,105211.97916666666,112350.32500000001,117327.228225
71,Alliance,OH,132716.7,122196.58333333331,120925.5,123349.5,128714.91666666669,127635.33333333331,132503.75,136537.91666666663,142453.0,145537.75,149810.7,157600.85640000002
72,Allouez,WI,125105.1,112559.41666666669,110259.08333333331,106457.25,101611.91666666669,109525.41666666669,120516.91666666669,126743.66666666669,139078.0,156571.16666666663,170056.6,179069.5998
73,Allyn,WA,235098.1,220296.5833333333,215117.0,223677.5,235789.83333333328,251371.83333333328,267192.5,273006.83333333326,297802.83333333326,325500.25,339743.0,356390.40699999995
74,Almont,CO,,165145.8,166669.41666666663,175430.41666666663,164327.83333333337,157836.91666666663,171309.58333333337,182422.5,192647.66666666663,205577.0,217342.7,225601.7226
75,Almont,MI,135243.1,128787.83333333331,128553.33333333331,136608.41666666663,148478.91666666663,155352.08333333337,151489.75,161481.16666666663,173401.41666666663,188599.5833333333,199404.9,208577.5254
76,Alpena,MI,81188.6,81017.0,82812.33333333331,87158.66666666669,89439.91666666669,96264.0,100390.33333333331,106558.83333333331,113196.75,118807.91666666669,122051.7,126323.5095
77,Alpharetta,GA,156021.9,140575.8333333333,122322.79166666666,124608.12500000003,144786.4166666667,159725.875,174383.0833333333,192794.2083333333,214550.16666666666,228995.0833333333,239861.65,251081.27510000003
78,Alpine,CA,177453.6,151409.66666666663,139309.0,160227.33333333337,197617.5,212933.5,232269.08333333328,249022.5,269660.66666666674,278209.91666666674,298475.9,311608.8396000001
79,Alpine,UT,,,,,,,,,454712.1,487433.25,503888.5,529586.8134999999
80,Alsip,IL,118819.8,104649.33333333331,78314.91666666669,63788.08333333334,60704.08333333334,64310.33333333334,67347.08333333331,71192.25,76068.5,80902.66666666669,82065.8,85840.82680000001
81,Alta,IA,122643.9,125254.91666666669,119904.41666666669,125195.5,126448.66666666669,133498.41666666663,149310.16666666663,154612.58333333337,162749.58333333337,169435.83333333337,174446.6,182296.697
82,Altadena,CA,537934.6,497384.75,495037.58333333326,550637.9166666665,612056.0,649605.1666666665,684201.4166666665,729616.0,773021.5833333335,771411.3333333335,810342.8,857342.6824
83,Altamonte Springs,FL,57310.65,52999.125,57295.16666666666,68579.62500000001,77923.66666666669,79977.91666666669,85440.45833333331,94934.08333333334,105284.16666666669,117465.91666666669,125343.95000000001,130985.5381
84,Alto,NM,161755.8,162988.83333333337,165765.33333333337,162871.16666666663,166728.58333333337,174863.91666666663,184827.0,203967.25,216037.8333333333,222296.66666666663,230488.8,238786.3968
85,Alton,IL,110784.5,104109.91666666669,104125.08333333331,105032.41666666669,106666.66666666669,104965.58333333331,105047.91666666669,105469.66666666669,108565.41666666669,114682.25,120974.1,126780.8568
86,Alton,NH,239884.4,229759.0,204120.375,201642.8333333333,211790.375,220941.8333333333,213336.9583333333,218960.2083333333,230775.29166666663,231619.9166666667,236606.8,247567.40840000001
87,Altoona,IA,118641.5,111762.66666666669,112176.66666666669,116419.66666666669,117653.33333333331,119993.5,126335.5,134248.58333333337,142272.66666666663,147615.33333333337,150844.8,157632.816
88,Altoona,PA,,,,,,,145707.05,148370.29166666663,149260.33333333337,147362.2083333333,151031.75,158232.15814999997
89,Altoona,WI,164222.6,156593.25,153234.75,160690.83333333337,160529.16666666663,163112.08333333337,177118.25,183018.3333333333,195223.75,207200.8333333333,227567.0,242586.422
90,Altus,OK,75274.5,76024.25,76744.66666666669,78816.5,79742.83333333331,83953.25,84191.33333333331,84942.16666666669,85476.0,87207.25,91558.8,94671.7992
91,Alva,FL,,58879.0,63765.0,76212.5,93131.08333333331,117454.75,143369.75,155368.58333333337,170410.08333333337,175101.33333333337,171769.8,179327.67119999995
92,Alvarado,TX,93738.0,98253.08333333331,93278.41666666669,83187.25,86786.83333333331,100608.75,109278.66666666669,121418.16666666669,134933.25,134447.25,134641.5,140431.0845
93,Alvin,TX,137018.5,125849.0,122346.83333333331,122285.83333333331,131323.91666666663,150553.91666666663,159619.25,167251.91666666663,177499.41666666663,186483.91666666663,192032.2,199521.4558
94,Amagansett,NY,,,,,,,,,2733426.25,2874857.083333333,2913592.6,2992259.6002
95,Amarillo,TX,130571.0,128941.73333333332,127423.56666666665,129921.01666666668,133018.76666666666,131694.2083333333,137044.40277777778,143169.7638888889,139915.30357142855,142222.75000000003,143833.82857142857,149166.2299142857
96,Amboy,IL,,,,,,,,26919.0,29813.58333333333,33777.416666666664,35224.8,36175.8696
97,Amelia,OH,111667.9,108762.33333333331,106939.91666666669,105916.75,104630.91666666669,102992.33333333331,103508.58333333331,111225.41666666669,122142.16666666669,133250.83333333337,139500.9,146057.4423
98,American Falls,ID,102159.0,90804.5,88893.58333333331,97094.91666666669,104283.75,114989.66666666669,118945.83333333331,131114.0,145269.83333333337,162179.91666666663,174069.4,183295.0782
99,American Fork,UT,154820.4,139622.0,135846.16666666663,148004.66666666663,158966.08333333337,163438.16666666663,173211.0,187786.5,207170.5,225754.66666666663,238378.4,251250.8336
100,Americus,GA,53300.0,51709.33333333334,48470.41666666666,49896.5,53325.91666666666,57716.41666666666,56998.08333333334,59313.91666666666,61651.41666666666,61320.16666666666,61010.5,63023.84649999999
101,Amery,WI,162509.9,158884.08333333337,151931.66666666663,147611.08333333337,148150.16666666663,152391.08333333337,159492.83333333337,167029.91666666663,177797.33333333337,187125.0833333333,191905.9,202460.7245
102,Ames,IA,170371.15,168254.3333333333,165682.70833333337,166314.58333333337,177318.95833333334,183403.16666666666,187667.0416666667,194735.25,191954.16666666666,194876.87499999997,196089.8,203981.22564999998
103,Amesbury,MA,187621.5,171540.0,160181.91666666663,169707.25,181522.25,189901.25,204112.5833333333,218856.8333333333,234371.83333333328,249124.25,265149.1,281058.04600000003
104,Amherst,MA,203383.7,194195.75,183649.41666666663,187728.0,194491.3333333333,188873.3333333333,190326.16666666663,192894.75,199278.0833333333,207753.3333333333,218191.5,228664.69199999998
105,Amherst,NH,,,272172.1,250703.83333333328,258163.33333333328,266075.58333333326,273421.5,294857.83333333326,313551.33333333326,317649.08333333326,328783.1,344235.90569999994
