State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,227409.11489361708,225967.46453900714,227970.7732638888,227794.2786666666,232615.40833333324,240088.15499999997,244647.30333333334,244991.71346153843,242616.77545454548,251803.13333333333,262227.10727272724,277817.4646148148
AL,Alabama,115287.58192460325,109540.7918670675,105739.85023883199,105776.75029388965,105870.06278594876,107905.1617942275,109395.80625159155,112384.27148989905,116816.95628679176,122345.54277041956,127683.89718543054,133694.53879354292
AR,Arkansas,81065.39317907927,79281.74476911977,78835.35100130404,80243.32491351874,81363.66739027709,83026.19168260042,85553.53808914758,88621.41926328496,92189.24494724028,96118.36041666658,99328.62446428566,103617.69581821428
AZ,Arizona,173176.2837339744,156066.25678913743,158353.82948312224,180847.14662512986,195471.23109567905,200954.47351899085,212157.76780415425,223300.53343166164,237396.20235310498,251242.28094541922,267690.6312865496,282267.19332543854
CA,California,378281.38221867214,358559.60208525555,353260.20222416095,404970.4991478051,455311.87882191566,485264.16787254746,521079.79864669824,554174.526064042,602102.3733639787,614195.0379102402,632099.5052787657,663622.7169173392
CO,Colorado,232892.384589041,221355.7822876415,220618.35824354665,232656.4707823374,248803.50975783472,268053.9263686765,290216.35910652904,309814.7795315682,331768.68589939823,349536.32205387246,359625.72545454564,375718.75951434334
CT,Connecticut,310722.6417378918,296573.5127615062,282108.63278008293,285199.7436005833,290723.57486630994,295961.32210967346,299912.98708487087,304195.9495694958,308986.88547794113,310236.2558210784,312937.9584558825,327991.7263323528
DC,DC,456322.7913043478,451434.9601449275,455745.21376811585,501207.32608695654,544510.9963768116,561198.9963768115,581968.9311594204,609024.9021739131,630550.1014492755,658422.1159420289,677553.0,707771.8225130435
DE,Delaware,272642.9390624999,254408.35256410253,239793.51153846152,238710.41282051278,249232.8435897436,254121.13717948724,260718.9525641026,267779.52307692316,274620.60128205124,281737.22820512817,286430.083076923,301473.9916876923
FL,Florida,165934.5564844588,152869.18343628402,150171.80701100462,164264.10866904963,182818.51299634736,197965.08682489788,213449.1705974843,227556.03074772874,241139.1792452831,251388.93099231328,259267.00849056625,271047.7593473791
GA,Georgia,122962.14469357247,113926.63452556793,109719.42405275132,114964.41346529812,124945.01110301267,132140.6444766039,139314.45635491604,146365.53478987573,157085.47867857138,166437.1984523809,171997.54799999995,179708.66194614282
HI,Hawaii,527797.0526748972,474836.8234649124,456789.972934473,460620.5138211381,491876.4190763052,512360.9658634537,531491.1044176709,557914.5140562248,580224.9166666667,594973.8524096386,608003.9084337348,631328.5453144581
IA,Iowa,106291.49907407418,104956.17479965705,104746.75167076003,105038.9011305701,106570.13504665977,108871.33649813638,112639.69563213096,116671.9741518014,120657.35556421803,125018.19507969511,128591.15852390838,133999.39562411644
ID,Idaho,164009.64487179494,149455.99525129338,149662.34919028333,159390.120295699,168156.19813333335,176247.78877952744,188272.81561978886,202217.100576923,222272.1815521628,244426.82569974547,259941.4187022902,273493.70969694684
IL,Illinois,138882.00315347253,130590.452677427,125392.89700918835,126680.39188851141,131173.4111410939,133120.22069708395,135919.05947527668,139635.2608045159,143262.4937548944,145801.98238057963,147342.9418167582,153249.14587050964
IN,Indiana,106276.1165874045,103909.02228682161,103304.86779550501,104269.50277119775,106511.39200528004,110176.82122166235,113383.15058552897,119021.34418814087,126622.31840796028,134513.1482172472,140528.98159203972,147018.2405583334
KS,Kansas,116350.41941457594,114164.52485224594,112957.23152105988,112813.21132478632,112521.38099682,114842.50330119382,114928.77777021122,116237.95565816414,129104.44222814926,134168.6490722969,137927.97696737037,134264.86848970872
KY,Kentucky,91281.53377572024,87361.19959970583,84260.5685589241,84458.84456060373,83793.19657949974,86388.35643996019,89635.98024140215,92248.9640342822,97231.48607142863,101122.33940476194,104682.06214285712,108736.56541957145
LA,Louisiana,127558.77324647643,123826.54347359863,123450.0084300184,124397.3992626003,127012.75272480905,130156.13737613101,133514.86039737647,135889.86944444448,137847.31027531953,139836.45814896747,142493.2168141593,148254.40268252217
MA,Massachusetts,360521.5418803413,351597.5707274012,341465.1873892296,358121.5404905913,377359.09594721533,389873.1850194552,404012.08806306304,423668.4901282049,447984.6722648751,459222.69593730004,470457.9391554696,491941.92333416484
MD,Maryland,298766.83995584986,285109.75805860787,277063.36196207145,286708.65408460994,297222.03787218605,298338.2387163562,299701.2565075923,308919.6839092873,318573.6938709675,324499.49193548405,328737.1077419359,343099.90137505403
ME,Maine,192822.74775339605,186322.1023737375,183099.03870808682,183226.7087745098,182553.90970481758,183921.65045088576,186878.73982075977,192942.0601956946,200408.58657657666,207829.0554054053,217577.07081081095,227691.18231378373
MI,Michigan,114931.81691319328,110535.56712172915,109865.97770124518,116617.08910333944,126431.5255724196,132166.26277052346,136675.56857156768,144289.32332507672,153765.25211109416,161974.09195705742,167885.87824709582,175192.04107497368
MN,Minnesota,146638.6508762816,139087.99063275437,136096.09494451302,143004.83650626053,151050.6141575383,155718.49451026856,162931.9699373286,172516.33716295427,182786.652903009,191174.16044340713,197713.96499416517,206334.2410276544
MO,Missouri,117360.6663914656,112716.9259916235,110613.26380197481,111652.78109549028,113711.44339583772,117020.73279241436,121200.47345101564,126234.2454982784,133482.14174492523,140445.2269258076,145248.21821086257,151917.2541895413
MS,Mississippi,98430.22824540609,95113.91076604562,93215.90126262626,91518.35144376905,91547.8268848617,94779.71553317261,96850.43798904537,99234.26736128598,101545.30363649937,105670.07683691755,109230.98010752685,114048.86082102421
MT,Montana,204089.3681159419,196790.93438596494,196402.00087719306,204001.80408327584,214381.9892344497,217160.0023071625,221978.52893518526,231858.42418300663,242637.6676366844,256225.03919753095,268659.38222222216,282001.1849144446
NC,North Carolina,153709.80504774916,146652.49038375728,142010.5147041466,142226.32941305294,145662.10795603093,149074.78214743588,153817.83896338852,161099.9425807824,169764.88880952384,178250.96223628678,185075.51746835423,194085.240296193
ND,North Dakota,124402.73006279433,126008.75007440476,128850.68047464939,139836.63893849213,141145.86124373996,146508.11295019154,148401.14739744386,153729.13489124042,155564.98471277408,157422.00198412684,159734.02440476193,164989.46861137726
NE,Nebraska,114547.42742531055,111087.18054144802,110961.09247237562,113327.53324852357,116900.25791389095,119929.72056910557,123875.14570558807,130955.9230056234,136929.94119784347,144985.339838256,150159.77278481005,157420.04800811972
NH,New Hampshire,229857.66793478242,225853.59929078014,218291.66853741504,223137.87699472712,230477.97246376806,235743.2456066947,242963.4870990236,255287.13040446295,271467.36331938626,283664.4243375176,294287.00376569026,307839.65293807554
NJ,New Jersey,375107.9601476013,356685.41790683626,341633.16308390786,342513.34424460435,356922.94643493765,359259.1871607106,359188.8015256184,367042.18014916766,381115.0322488585,388512.1835045662,394737.62722602714,412507.8951660374
NM,New Mexico,176615.9614880952,163972.012014411,157584.77225529094,157633.40207156312,160287.5781092172,157085.54495884775,160473.2542626262,165682.44323144105,170134.9436965812,177814.55662393157,184039.98076923087,192412.563285837
NV,Nevada,174154.3121621621,159332.46998843687,153316.57450331133,179773.19266917306,210150.84594298239,224490.75924731186,240541.23745415948,257619.45753715505,288375.9266877636,307578.4240506329,315622.95759493683,329959.33545569633
NY,New York,247693.89996121754,243612.71079457353,239633.09859903427,242773.52393729542,253741.13637237906,265397.6069852238,272559.5754123517,281615.0921775227,293786.7104348129,302648.2515777395,306232.0674698792,319232.2746754309
OH,Ohio,111000.20368705028,106578.42872435325,105978.77300608363,106030.64854336879,108009.46352146249,111295.8303556309,114829.464746538,120618.8408090976,127473.95523448776,134678.49249999985,140350.66974999988,147063.5796442499
OK,Oklahoma,79187.64045936393,77774.74670745918,78104.78817016314,79698.51750578702,82175.37654726628,85237.00987705673,87844.52409390437,90781.68075880769,94283.21433939396,97935.6212,102537.5947199999,107336.23193403223
OR,Oregon,212773.58626373636,197798.92270663028,192491.29299909665,206167.12646793132,220273.73699960133,233134.50353143836,252978.7056790574,272761.3149958229,291405.63361154974,304527.93238213396,314812.8439205954,329669.84406004945
PA,Pennsylvania,157024.0791812099,151000.7561423009,145460.28989992835,146428.24430592067,149102.09965624573,151074.83613796567,152679.71429553535,156401.86179988345,162415.01737602364,168010.54967111608,173128.56581543837,181229.61248983143
RI,Rhode Island,275346.14868421055,264535.71710526315,249615.81578947368,253671.4035087719,265793.79934210534,268932.1504329004,279561.0974025974,295511.9534632035,314647.30411255406,323663.3993506493,335634.81168831163,351279.7166220779
SC,South Carolina,136928.0318976279,130289.29645191407,126527.758302469,128083.27632783879,131857.01889799634,135580.02667118356,140664.8021298778,145471.22447643988,151899.1797148867,159218.22600685505,164849.4136246787,172708.27698277624
SD,South Dakota,139032.3843053735,137188.5368421053,135966.28601851847,136704.62688113414,139041.55736124434,145063.34944281535,149305.68005712243,156037.70800288604,162707.1430253623,171413.49501811594,176047.31630434786,183425.05639184781
TN,Tennessee,114735.07922077904,111907.02575757583,110586.77268976884,113107.43445908837,117659.4338580827,122283.23530965393,129413.2476307189,138393.24319172115,147886.87694082514,156430.64427252964,164514.8791530945,172841.2591416939
TX,Texas,128562.06361336916,125248.74527243582,125484.69050013296,131566.78211454608,140907.5284123255,150343.89831865238,158957.2635123532,168147.3591710758,176604.44499734734,184869.83426183864,190428.7480779941,198897.36490306948
UT,Utah,194726.7104803492,184350.76772030632,183409.22442775386,198611.75286123023,211418.432051282,219472.77801418447,234244.9685028249,252810.0484593838,275529.9718686868,296903.43888888875,311310.4966666665,327123.9115237495
VA,Virginia,208586.43953859824,204143.6353448282,201540.8788969309,205083.08369279982,210155.7177083335,212020.17616256344,215157.66806526805,221106.14617327126,227905.0427034886,236085.02015503906,243157.51127906973,254245.35378674403
