RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11226,4106,NY,409761.1,401485.25,391930.0,415630.41666666674,424456.41666666674,466313.0,530158.5,561704.0833333335,597017.8333333335,554913.25,540916.7,557685.1177
10467,4106,NY,,,126222.5,123431.58333333331,124623.75,129628.91666666669,133592.5,151135.25,171017.66666666663,171443.16666666663,182144.0,190158.336
78660,4622,TX,167554.0,159940.0,158558.91666666663,167891.41666666663,176955.83333333337,188336.5833333333,207220.8333333333,223272.25,235561.25,245691.75,256118.9,270205.4395
94109,5234,CA,738485.0,701689.4166666665,722486.1666666665,840041.0,916154.5833333335,999666.0,1061473.916666667,1049567.583333333,1105057.75,1110114.5,1134470.1,1176445.4937
10016,4106,NY,561180.5,592559.6666666665,596563.3333333335,623194.5,687435.8333333335,747292.9166666665,779751.6666666665,784170.8333333335,779228.9166666665,764923.0,724612.9,736206.7064
37013,4011,TN,120239.7,112972.41666666669,104888.83333333331,107725.58333333331,113136.41666666669,120515.58333333331,133318.75,149599.5,167196.33333333337,175811.08333333337,182749.7,191521.68560000003
32162,5862,FL,175469.9,172301.08333333337,171887.16666666663,184865.5833333333,209158.25,222859.5833333333,224498.3333333333,228398.58333333328,237728.08333333328,250299.33333333328,258961.0,271391.128
60647,1036,IL,308958.6,283565.91666666674,266226.25,290026.41666666674,322804.83333333326,333224.0,350603.25,369878.25,381043.16666666674,384263.66666666674,385606.1,404886.405
11201,4106,NY,610968.8,601443.0,610432.0,662694.9166666665,767336.75,863127.5,915655.75,888169.75,896208.25,935250.75,875205.3,897085.4325
11235,4106,NY,233273.7,234498.41666666663,233361.66666666663,235116.33333333328,251769.75,267387.08333333326,280319.25,292685.25,325433.0,337543.83333333326,339785.4,349299.3912
11375,4106,NY,227286.2,224878.75,228275.91666666663,239977.08333333328,252806.83333333328,284636.66666666674,296635.0,316582.5,350849.16666666674,374481.33333333326,370485.0,386786.34
90250,2469,CA,446072.2,408393.83333333326,371419.66666666674,395370.5,452066.16666666674,485334.75,529738.6666666665,574790.5833333335,627825.1666666665,644618.25,664789.3,701352.7115
78130,4041,TX,132989.8,134570.16666666663,136638.33333333337,143209.83333333337,147755.0,168836.08333333337,190668.0833333333,183030.8333333333,187968.5833333333,201713.3333333333,221452.4,231417.758
37211,4011,TN,109957.4,103702.33333333331,102028.0,103883.5,109892.0,117780.41666666669,132583.16666666663,148178.0,164910.66666666663,172266.08333333337,179806.3,188976.4213
10009,4106,NY,601157.0,616171.4166666665,640186.1666666665,666278.5833333335,741164.75,795665.5833333335,816227.0833333335,804936.3333333335,800628.9166666665,848184.0,868169.8,880324.1772
77573,3155,TX,90329.6,86736.08333333331,94459.25,97236.75,104449.08333333331,118401.08333333331,117334.66666666669,111549.58333333331,110407.0,122516.5,123871.4,130188.8414
