index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Abbeville,AL,200391.6,186039.75,184563.41666666663,185405.8333333333,175729.33333333337,178596.33333333337,178815.91666666663,185087.3333333333,192349.0,200552.5833333333,203411.3,212768.2198
1,Abbeville,GA,,,,,,,,155042.66666666663,168294.91666666663,179564.16666666663,183258.5,190222.323
2,Abbeville,LA,,,,,169515.8,194943.16666666663,189682.8333333333,185162.66666666663,201478.75,217911.8333333333,207530.5,214171.47600000002
3,Abbeville,MS,238024.3,215462.91666666663,229170.75,215639.3333333333,214526.75,231164.66666666663,237476.75,258127.83333333328,271256.75,276907.91666666674,277360.8,287345.7888
4,Abbeville,SC,235264.9,219936.91666666663,209195.16666666663,221212.5833333333,229833.75,225586.66666666663,233583.58333333328,245269.83333333328,262903.41666666674,247186.33333333328,253313.3,264459.0852
5,Abbotsford,WI,165699.3,156820.33333333337,147627.75,143854.16666666663,135170.16666666663,126864.91666666669,122181.0,128029.58333333331,131926.66666666663,130508.83333333331,131190.8,136700.8136
6,Aberdeen,ID,137999.0,125703.58333333331,123116.33333333331,129335.5,135108.75,144860.91666666663,157100.25,173502.58333333337,192629.5833333333,209384.5,224646.2,237001.741
7,Aberdeen,MD,341618.2,326507.75,319456.91666666674,321884.0,329982.91666666674,325211.25,332723.75,340959.91666666674,358921.16666666674,360160.91666666674,366399.6,382887.582
8,Aberdeen,MS,,,113208.75,115324.75,117654.91666666669,116116.5,106203.58333333331,110843.75,122798.16666666669,123880.16666666669,128078.1,135250.47360000006
9,Aberdeen,NC,259868.7,267806.83333333326,262288.91666666674,263993.25,268023.5,272935.41666666674,276574.25,284501.83333333326,293002.5,300186.83333333326,316534.5,333310.8285
10,Aberdeen,OH,,,,,,,,,148421.2,157566.91666666663,164577.7,172806.58500000002
11,Aberdeen,SD,161388.4,165032.91666666663,167503.58333333337,177790.33333333337,184297.8333333333,196742.0833333333,207072.3333333333,219244.0833333333,228723.75,234753.91666666663,237245.0,246023.065
12,Aberdeen,WA,131281.7,122818.41666666669,120610.08333333331,124541.25,131887.16666666663,141290.83333333337,155675.66666666663,167271.5,187937.16666666663,209234.5,232933.4,251102.2052
13,Abernathy,TX,178190.7,168758.83333333337,179086.5,188670.0,196624.25,222290.3333333333,238137.83333333328,243925.25,248163.66666666663,265880.25,258851.9,272312.1988
14,Abilene,KS,155225.9,155062.91666666663,154778.0,154848.0,156978.25,162458.83333333337,172162.83333333337,173949.91666666663,181390.66666666663,187125.75,191875.9,200318.4396
15,Abilene,TX,245024.97999999998,245524.1,250302.25,253983.79999999996,269616.9666666667,271596.7,282154.55,292227.0333333333,295135.1666666666,304043.7,310395.20000000007,325503.20964
16,Abingdon,IL,76256.2,74152.33333333331,74019.91666666669,75879.75,78780.25,81856.25,83488.91666666669,85202.08333333331,86861.5,88677.83333333331,89330.6,93082.4852
17,Abingdon,MD,339465.4,327717.16666666674,328220.08333333326,331751.58333333326,344515.41666666674,341811.33333333326,346252.58333333326,356717.16666666674,377703.83333333326,384091.66666666674,392220.5,411439.3045
18,Abingdon,VA,281753.35,277080.3333333333,273793.20833333326,275203.5,282245.6666666667,289426.91666666674,297692.25,308795.7083333334,316364.2083333334,328914.45833333326,334124.6,347489.584
19,Abington,MA,417441.0,401417.08333333326,399026.58333333326,412204.83333333326,431376.75,437543.0,456025.41666666674,485591.5,517335.83333333326,525170.8333333335,542082.3,570270.5796
20,Abington Township,PA,367212.92,359638.55,352388.9333333334,358391.6666666666,370946.8333333333,372622.43333333335,376664.13333333336,377684.44999999995,394903.1,403813.19999999995,415379.8,434864.4648
21,Abita Springs,LA,,337665.75,300520.0,312805.83333333326,345331.33333333326,348794.25,363414.91666666674,372503.33333333326,357505.41666666674,368124.25,382317.3,400668.5304
22,Abrams,WI,150501.3,146096.58333333337,147804.16666666663,147528.66666666663,148400.25,153152.08333333337,159663.33333333337,167347.33333333337,175081.16666666663,189134.16666666663,196122.2,204163.2102
23,Absarokee,MT,243087.4,243753.08333333328,242729.66666666663,241453.66666666663,253445.66666666663,262579.33333333326,269504.66666666674,285627.66666666674,311365.58333333326,328236.75,353135.6,372558.058
24,Absecon,NJ,288912.1,273001.75,257531.91666666663,248433.08333333328,257628.33333333328,249007.16666666663,239765.58333333328,236092.75,240698.16666666663,257505.41666666663,261507.7,275367.6081
25,Acampo,CA,429491.7,410491.0,422177.33333333326,464001.08333333326,521212.0,583012.6666666665,627820.75,690142.1666666665,786892.0,815462.5833333335,831833.0,879247.4809999998
26,Accident,MD,198911.2,192006.66666666663,180167.3333333333,175160.91666666663,174681.75,183194.41666666663,193987.41666666663,198703.66666666663,204813.5833333333,218557.5,220983.8,228718.233
27,Accokeek,MD,360497.2,340939.33333333326,347668.91666666674,371292.0,392346.75,398017.41666666674,414943.83333333326,435218.08333333326,453169.16666666674,460650.66666666674,472788.8,497846.60639999993
28,Ackerman,MS,,,,,,,134737.0,133637.6166666667,136123.6666666667,141581.75,145789.25,150974.0035
29,Ackley,IA,,,,109883.0,111681.25,122239.83333333331,128095.41666666669,128278.25,132328.25,136272.5,139753.9,145623.5638
30,Ackworth,IA,262522.7,271419.33333333326,267803.66666666674,295118.0,292702.5,312248.0,322428.5,332304.16666666674,333494.91666666674,348252.58333333326,362671.0,380441.879
31,Acme,WA,482476.2,447531.75,421264.91666666674,424105.08333333326,395784.91666666674,410447.75,408104.41666666674,444613.75,437736.91666666674,440584.0,455863.0,475920.972
32,Acton,CA,555153.7,516195.58333333326,475914.5,528990.1666666665,597202.5,629437.25,661105.6666666665,678223.75,707940.9166666665,721994.1666666665,743020.5,782400.5865
33,Acton,MA,637241.5,638299.25,623678.4166666665,645904.0833333335,678458.9166666665,703449.4166666665,714654.25,726510.0833333335,752114.6666666665,746966.25,751437.6,784500.8544
34,Acton,ME,280593.8,252921.5,239967.16666666663,257052.33333333328,258910.91666666663,252154.41666666663,262559.5,288681.83333333326,312108.58333333326,320431.41666666674,311737.8,325142.5254
35,Acton,MT,,,,,,,,,485180.9,460173.66666666674,436057.7,451755.7772
36,Acushnet,MA,313745.7,306055.91666666674,294847.25,305371.08333333326,316515.75,319654.41666666674,339393.66666666674,361055.16666666674,378977.83333333326,399759.08333333326,408516.6,430167.9798
37,Acworth,GA,275396.65,253021.125,256963.04166666666,277515.08333333326,295005.3333333334,306670.7916666666,326001.83333333326,339339.5,358600.91666666674,370740.625,380935.5,399734.1084
38,Acworth,NH,207044.5,214430.3333333333,256186.56666666665,243535.12500000003,249420.70833333337,259856.9166666667,262700.5416666666,270770.74999999994,292708.6666666666,301659.0833333334,305394.6,317417.41769999993
39,Ada,MN,,,,,,,114390.63636363635,124021.91666666669,132674.5,143669.83333333337,147018.0,152751.702
40,Ada,OH,106625.8,104350.66666666669,104698.25,105129.83333333331,107783.08333333331,110056.25,116823.66666666669,123201.75,130016.0,138357.58333333337,143608.4,150070.77800000002
41,Ada,OK,175202.1,175893.75,170287.33333333337,174176.75,173051.16666666663,176479.58333333337,188428.8333333333,195950.5833333333,205646.3333333333,202744.0833333333,210809.9,219242.296
42,Adair,IA,112826.8,114537.0,118680.41666666669,118421.58333333331,121589.16666666669,136997.5,140368.08333333337,143180.08333333337,148703.5,156129.16666666663,155983.9,163159.1594
43,Adair,IL,,60235.5,62261.16666666666,64219.0,75588.83333333331,77589.41666666669,80632.66666666669,83076.08333333331,84640.08333333331,88047.5,90305.6,93737.2128
44,Adair,OK,146591.0,149208.25,149061.58333333337,150783.66666666663,159619.58333333337,159390.91666666663,162328.91666666663,171229.41666666663,181462.0833333333,188977.8333333333,197016.1,205290.7762
45,Adairsville,GA,148038.8,139524.33333333337,134423.66666666663,141808.83333333337,151444.0,160963.33333333337,173637.91666666663,186227.41666666663,205740.66666666663,221244.8333333333,228597.7,240484.7804
46,Adairville,KY,131179.0,126668.75,121777.83333333331,121748.5,128981.5,139498.5,146133.83333333337,150678.0,157115.25,171215.66666666663,178823.7,181863.7029
47,Adams,MA,162281.1,158013.75,151493.75,159654.08333333337,157372.91666666663,155075.58333333337,154400.16666666663,150994.0,150177.08333333337,165771.25,166443.7,173267.8917
48,Adams,MN,191771.7,182964.0833333333,178016.16666666663,184063.75,184011.16666666663,191798.5833333333,202876.16666666663,215587.0,224858.5,234384.08333333328,242660.8,255036.5008
49,Adams,NE,177014.5,182909.75,186333.16666666663,195191.5,206744.3333333333,216027.41666666663,223500.91666666663,234291.66666666663,253052.91666666663,271611.25,279992.0,292031.656
50,Adams,OR,211026.6,200363.25,198167.91666666663,211040.5833333333,222497.5,249585.0,284105.08333333326,316032.66666666674,348479.75,367276.25,384767.8,403236.6544
