RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11375,10286,NY,1205688.3,1212114.916666667,1246769.166666667,1337909.083333333,1506426.833333333,1647460.916666667,1725466.833333333,1823877.0,1927769.916666667,1978395.833333333,1977622.1,2064637.4724
90250,6348,CA,491382.8,465652.0,464369.75,513615.66666666674,577271.3333333335,617719.5,676325.4166666665,740626.75,816267.6666666665,851548.75,880632.4,929067.182
78130,10139,TX,248317.4,238169.91666666663,235926.66666666663,242386.33333333328,249096.41666666663,262969.25,274831.41666666674,284289.75,293193.83333333326,293303.91666666674,294866.6,308135.59699999995
37211,10040,TN,265490.9,251334.58333333328,252764.5,268187.83333333326,283320.33333333326,301123.91666666674,330250.66666666674,358529.66666666674,382077.5,392319.75,406210.9,426927.6559
10029,10286,NY,,,,,,,2115256.666666666,2379548.0,2615729.5,2635034.0,2589332.5,
77573,7962,TX,303804.0,288519.75,289484.33333333326,304684.08333333326,322101.5,341031.41666666674,361734.41666666674,365863.66666666674,378151.41666666674,382419.0,388834.8,408665.3748
60618,2625,IL,745785.6,690723.1666666665,702998.4166666665,772184.5833333335,851275.9166666665,910336.25,949912.6666666665,966614.3333333335,990541.25,993838.0,997495.8,1039390.6236
77584,11275,TX,285838.2,277689.16666666674,275725.83333333326,285007.66666666674,313762.75,342071.83333333326,354123.16666666674,359054.41666666674,368310.33333333326,370598.41666666674,370638.7,383611.0545
10011,10286,NY,5720164.3,6227998.583333332,6793611.916666668,7232229.25,8188502.166666668,9849154.083333334,11257859.583333334,10840590.25,10353376.75,9903476.916666666,9947335.2,9927440.5296
20002,15736,DC,548282.6,546681.8333333335,576561.1666666665,661376.3333333335,730251.9166666665,758049.5833333335,802892.9166666665,850093.8333333335,916197.5833333335,1016261.8333333335,1035557.8,1080086.7854
10128,10286,NY,6948788.9,8274738.5,9105767.333333334,9059589.75,8565117.333333334,9645310.166666666,9676266.833333334,9198811.083333334,9174733.333333334,8446469.583333334,7672310.1,7795067.0616
28269,2522,NC,257438.4,242735.25,237954.0,245682.25,262875.66666666674,270368.5,281474.08333333326,299751.08333333326,315558.5,329306.83333333326,341087.1,360529.06469999993
78613,2375,TX,356767.8,348117.0,358455.25,379010.5,415458.91666666674,439066.16666666674,458844.0,475634.0,484312.66666666674,504244.91666666674,521021.7,544467.6765
77433,3471,TX,342643.0,331167.83333333326,331799.08333333326,356656.83333333326,393104.5,419714.25,422894.16666666674,427330.33333333326,429905.5,438163.16666666674,448526.2,467812.8266
78572,9526,TX,302901.0,293046.33333333326,299174.0,298912.33333333326,305468.66666666674,315487.41666666674,313754.66666666674,312090.83333333326,313623.16666666674,316081.58333333326,320614.5,336324.61049999995
30349,12377,GA,177816.4,160042.58333333337,149620.75,162617.25,192792.8333333333,205901.66666666663,215880.75,228421.58333333328,246400.25,263016.0,273875.2,289212.2112
79912,4320,TX,378177.4,370929.08333333326,361690.25,362567.16666666674,367591.91666666674,363403.91666666674,364654.83333333326,379212.0,380672.58333333326,394664.58333333326,401244.8,418097.0816
75052,5749,TX,208515.6,205097.3333333333,206268.3333333333,215865.0833333333,232853.66666666663,249925.83333333328,271338.16666666674,293037.33333333326,309113.33333333326,321998.58333333326,332415.3,348371.2344
94565,11552,CA,382060.7,348317.08333333326,342008.66666666674,409025.33333333326,492743.75,539239.1666666665,573725.75,619196.4166666665,666918.3333333335,670536.3333333335,672273.8,699837.0258
37042,2759,TN,205747.1,205856.0,208228.91666666663,209671.25,214757.5833333333,219754.0,223176.75,228193.66666666663,236685.66666666663,250416.41666666663,258500.4,274785.9252
11206,10286,NY,564049.7,552162.1666666665,580482.4166666665,683678.4166666665,852857.5,977302.75,1153490.833333333,1324081.5,1406475.833333333,1431734.0,1488637.7,1563069.585
73099,16722,OK,276412.1,264667.25,261169.16666666663,273398.08333333326,281605.58333333326,290888.83333333326,294144.0,294161.75,296272.5,301690.0,310555.7,324530.7065
90046,8404,CA,1356528.4,1332743.083333333,1423830.25,1654088.5,1932959.25,2232823.25,2568087.333333333,2849985.166666666,3210980.416666666,3423484.5,3625387.7,3832034.7989
20009,15736,DC,950563.9,960595.5,1002719.25,1113412.25,1164456.916666667,1222402.083333333,1291965.083333333,1363115.166666667,1456242.333333333,1533307.666666667,1556118.7,1619919.5667
77429,3471,TX,294272.0,285703.91666666674,288528.58333333326,307697.58333333326,335801.08333333326,359226.25,362364.66666666674,361562.75,366545.91666666674,371151.58333333326,374656.7,391141.5948
78245,12911,TX,192312.3,186143.41666666663,187267.8333333333,192080.5833333333,203104.75,210944.16666666663,217966.91666666663,228518.0,233913.83333333328,241280.0,247079.2,257703.6056
77479,14066,TX,434333.0,422145.08333333326,426378.16666666674,448716.16666666674,495866.25,535784.8333333335,543600.75,541464.6666666665,538463.75,531420.9166666665,530418.0,548982.63
10462,10286,NY,435569.0,408023.83333333326,400954.58333333326,413577.83333333326,433372.58333333326,458109.25,493810.58333333326,544264.6666666665,601908.5833333335,667414.5833333335,722731.5,763927.1954999998
10456,10286,NY,437858.3,399525.83333333326,396044.66666666674,369715.33333333326,375926.58333333326,394134.41666666674,429673.58333333326,498085.0,555370.0833333335,610626.5833333335,661480.8,693231.8784
60613,2625,IL,1173877.2,1099289.583333333,1040434.3333333335,1120049.833333333,1227543.666666667,1334691.916666667,1405284.416666667,1429198.416666667,1429765.75,1426240.5,1407383.6,1462271.5604
30044,7935,GA,206420.3,181578.3333333333,180751.66666666663,205665.66666666663,232945.58333333328,241776.5,251690.16666666663,267804.41666666674,288928.08333333326,305115.33333333326,315512.8,331919.4656
10019,10286,NY,,,,,15929956.0,15162974.666666664,15413993.75,13257612.166666664,12254649.25,12290773.916666664,11800488.0,11847689.952
63376,12839,MO,242122.4,231392.0,226194.16666666663,244724.33333333328,256725.66666666663,258874.5,269443.33333333326,283561.66666666674,294217.66666666674,306497.58333333326,320778.7,336496.8563
10003,10286,NY,6027955.8,6582342.583333332,6614938.666666668,7518737.083333332,7709845.833333332,8219671.25,9305585.916666666,8972640.166666666,8746268.916666666,8845662.666666666,8589895.3,8435277.184600001
28277,2522,NC,433699.0,410658.33333333326,411456.0,433723.16666666674,465004.41666666674,476424.25,494839.66666666674,517969.16666666674,537057.25,546408.9166666665,565443.3,595977.2382
60625,2625,IL,622938.7,592754.5,594605.5,638830.6666666665,670900.8333333335,710430.1666666665,744509.0,769061.25,786929.4166666665,798436.6666666665,811367.7,849501.9818999999
30043,7935,GA,236831.5,210793.41666666663,208910.3333333333,236992.16666666663,262891.66666666674,271034.16666666674,280559.58333333326,296014.66666666674,315631.66666666674,329912.75,335924.3,352384.59069999994
11230,10286,NY,890439.3,924906.75,966559.9166666665,989613.4166666665,1080509.0,1206175.5,1327274.916666667,1488889.833333333,1579094.25,1608056.25,1579621.3,1587519.4064999996
11212,10286,NY,462867.8,455879.41666666674,443941.83333333326,447192.58333333326,493627.25,519304.25,587343.9166666665,639211.5,710319.8333333335,771419.25,799386.4,840155.1063999998
77036,6806,TX,168358.9,160387.58333333337,157167.41666666663,168263.91666666663,193780.91666666663,214843.8333333333,223381.16666666663,233012.5,241518.75,245648.0,250271.8,261033.4874
