index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Abita Springs,LA,,,158207.625,171620.91666666663,179865.25,175526.58333333337,174462.91666666663,176467.08333333337,160397.33333333337,157938.58333333337,155353.2,162810.15360000002
18,Absarokee,MT,152726.1,145274.25,140757.0,148816.08333333337,156616.66666666663,168135.25,179489.5,196521.25,210636.5,227734.83333333328,249918.9,263664.4395
19,Absecon,NJ,,,,,106724.3,106671.41666666669,95583.25,86940.91666666669,90391.91666666669,97824.66666666669,111276.7,117174.3651
20,Acampo,CA,120162.3,114151.58333333331,130688.66666666669,148755.91666666663,179636.58333333337,191376.3333333333,229334.0,280213.0,327907.58333333326,357128.91666666674,364181.3,384939.6341
21,Accident,MD,89182.6,85945.66666666669,93260.25,102930.41666666669,109142.16666666669,111489.83333333331,113673.41666666669,121642.16666666669,121992.41666666669,122394.58333333331,120740.2,124966.107
22,Accokeek,MD,305538.3,304505.16666666674,322169.25,341216.33333333326,355988.08333333326,350769.75,356507.33333333326,375754.58333333326,400518.41666666674,402024.91666666674,400952.9,422203.4037
23,Ackerman,MS,,,,,,,64126.0,65014.58333333334,67775.58333333331,70759.5,73897.9,76853.81599999999
24,Ackley,IA,,,,,,,,,75899.3,80199.33333333331,75471.5,78641.303
25,Ackworth,IA,,,,,,55741.5,57590.33333333334,59798.83333333334,65251.16666666666,73836.58333333331,77199.0,80981.75099999999
26,Acme,WA,233287.2,226195.41666666663,216782.0833333333,225230.08333333328,237193.25,261307.75,265559.25,289020.58333333326,307411.08333333326,327244.0,334162.9,348866.0676
27,Acton,CA,330728.4,333935.25,320999.83333333326,325842.66666666674,331080.75,332070.16666666674,356862.0,350766.25,369876.5,387438.91666666674,393484.9,414339.5997
28,Acton,MA,153282.2,135245.5,123053.75,128025.08333333331,132469.08333333337,131574.41666666663,135570.25,146517.33333333337,161396.16666666663,171156.41666666663,170566.5,178071.426
29,Acton,ME,237315.9,233887.16666666663,189163.0,153102.91666666663,145793.0,139654.25,151666.16666666663,157204.08333333337,169173.75,167812.0,180389.4,188146.1442
30,Acushnet,MA,190282.3,178011.25,171227.75,177144.83333333337,185610.5,192088.5,200670.0833333333,219585.5,226911.91666666663,243849.33333333328,251444.0,264770.532
31,Acworth,GA,,,,105257.0,108878.66666666669,113278.66666666669,123358.5,128870.5,134776.75,146763.41666666663,163106.6,170935.71680000002
32,Acworth,NH,,,79756.58333333334,78033.25,83095.25,89233.91666666667,92413.33333333334,98139.58333333334,101687.33333333334,106298.54166666666,109267.9,113568.84845
33,Ada,MN,,,,,60578.6,63734.91666666666,67811.0,73088.75,79422.08333333331,84563.58333333331,87705.2,91125.70279999998
