State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,317550.25500000006,315990.3229166667,318035.0020833334,310494.80555555545,314616.31851851847,322777.08333333343,329873.77777777764,331699.2092592592,328891.4358695652,341071.9710144927,352148.6739130434,374444.7245577779
AL,Alabama,177986.94525704175,170364.99508385605,166551.1845734793,165274.16149393097,165825.29027516552,168822.66155212454,170795.81437127688,174509.26858628207,181172.24965277791,188541.08506944438,195549.04041666648,204914.14412312483
AR,Arkansas,150924.45256244607,148483.6852661597,147227.84983660138,148060.22902582577,149295.00319865323,151475.32396851253,154134.97116321945,157376.05529835366,161857.25708912362,167369.28553553548,172484.47507507485,180348.7603824773
AZ,Arizona,227259.20257352953,206214.22008547006,210231.92032004826,240706.75561529264,259765.1023669797,266549.3547536662,279573.71907216497,293197.5383734249,310692.5259670082,326750.69368600677,346372.004095563,365376.7848511946
CA,California,486231.2224133363,464201.77330700634,462546.65557067265,526887.2464759013,590197.6925974162,626777.6351166982,671847.0400911857,713689.3760228254,779298.7955362881,797967.8511560693,823366.7053949892,865753.3668075622
CO,Colorado,326384.49159470334,311669.1029262084,310957.18270519265,326973.4764289083,346198.97993034165,372331.5896124033,401582.9133522727,428463.3482734455,457064.729234522,479710.4616402118,491887.00249433087,513899.72403386334
CT,Connecticut,391091.78675799083,372805.6662961493,354405.1249482401,358925.3047163119,366847.3263305324,372412.9698056173,375956.8925919501,379198.4742366413,384499.76596958167,385106.93314321875,386816.9646387834,406163.82379007636
DC,DC,691047.0650000002,690554.1583333332,702464.4958333333,770757.2124999999,837317.3916666666,880177.3611111112,922619.365079365,964102.630952381,994168.9801587304,1049825.8412698414,1081756.504761905,1130073.8490571429
DE,Delaware,306398.0580645161,288373.36904761905,274549.2486772487,275880.6190476191,285009.14021164033,291646.9179894179,296098.3478835979,303244.2989417989,311829.10052910045,319496.4960317459,324140.5317460318,343418.18378064525
FL,Florida,265169.068513363,248982.06754279783,247344.15142276417,270070.48219152837,298863.21220631426,323878.8967134939,346941.190909091,364250.4420446366,380480.9493347719,392572.38502337324,401559.9206040992,419500.3285431501
GA,Georgia,177951.84236577194,166292.06973860873,160811.51214876023,167709.90310965644,181216.23904220754,191314.80539452503,201949.41621260656,210658.40907338378,224508.07119532776,236071.46617032372,242815.86786833854,253605.96102119324
HI,Hawaii,688328.6980392159,616729.8884803923,601921.8136070849,613424.109741784,634710.4371794873,660800.8920940171,684002.4636752136,714095.7094017093,742594.4647435895,761027.2724358974,774689.516666667,804261.6705846156
IA,Iowa,135200.49538706738,132592.95356019755,131643.56024015674,131582.2676171417,133560.80555946333,133879.85137072418,138450.53363780817,143104.79104086838,146311.43574464167,151359.09525129336,155607.19855875857,162162.8736886919
ID,Idaho,204640.58843537417,186449.4874396134,188719.2573899372,202949.1596899225,213231.66819571858,221635.7231851853,236828.89864766083,253999.03722943712,278389.8788984262,305419.6598712446,325620.5424892701,342746.3787437769
IL,Illinois,192654.48145442476,183333.59149334545,176002.81608976613,181532.6597406279,188588.70021433407,193209.25174308158,196759.6869470902,201590.95207690107,208531.61031523094,211373.8306023719,213072.2479400749,221724.71486923093
IN,Indiana,139096.33347578332,137033.6751652503,136147.17563343508,137823.75448777465,141250.94066212326,146356.38331040824,150836.13805936067,157812.51339070057,167535.62212449254,177641.0826567434,185134.98768606246,193773.4682215449
KS,Kansas,148447.71315746207,144794.06647342985,143920.87535816626,145123.61563670414,144608.1654998386,147755.57504166654,148913.84658263304,149615.76943241953,153419.04541884374,159888.79934437544,164599.2227743272,172754.66055450734
KY,Kentucky,135761.18267319383,130778.60766708462,124828.09349500872,125032.79701704546,124702.78745988765,127772.55452400101,132101.19644792884,135960.56295245877,141986.8517764859,147729.30481727573,152531.33205980054,159420.6292976549
LA,Louisiana,189420.12986484065,185719.69800908535,184947.5805502469,186117.98786291023,188960.80642583835,192115.62282900428,197283.90543106128,200604.28793897814,203843.61171274964,206940.2999551973,211093.6758064516,221278.41277232877
MA,Massachusetts,465356.1390134533,456046.70563012676,446155.02972636826,468336.1892324092,492205.87800865737,511071.6971710971,527215.2056615348,551821.8606091032,581709.2554090908,595412.5665000001,609104.9259999997,636714.4052199996
