index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Abbeville,AL,67989.2,63975.83333333334,66437.66666666669,66886.41666666669,69222.58333333331,71981.58333333331,72290.33333333331,70397.33333333331,74097.33333333331,75905.91666666669,77051.0,80595.34599999999
1,Abbeville,GA,29757.0,28623.16666666667,28034.08333333333,29746.91666666667,34034.5,38191.0,40456.833333333336,43156.16666666666,50660.08333333334,55005.0,56646.9,58799.48220000001
2,Abbeville,MS,80705.1,84496.83333333331,84698.41666666669,85155.91666666669,87612.5,88506.91666666669,87685.66666666669,90945.25,95397.33333333331,100560.66666666669,103609.2,107339.1312
3,Abbeville,SC,63966.4,62354.58333333334,57074.0,59101.58333333334,65102.58333333334,66761.08333333331,71523.41666666669,72697.83333333331,75462.41666666669,80849.83333333331,81383.5,84964.37400000001
4,Abbot,ME,115252.4,106426.33333333331,105707.16666666669,114563.83333333331,116509.5,115313.25,104610.08333333331,101539.83333333331,108032.08333333331,114743.75,121046.3,127824.89280000002
5,Abbotsford,WI,86091.2,84605.83333333331,83257.25,84887.91666666669,84722.91666666669,85120.5,87222.5,89769.91666666669,95965.83333333331,100688.58333333331,102972.9,107297.7618
6,Abbott,TX,70674.6,71214.08333333331,73146.83333333331,77585.66666666669,80217.91666666669,83678.33333333331,89185.41666666669,100256.25,103921.0,107318.75,116491.0,121966.077
7,Abbyville,KS,59017.9,56957.91666666666,58163.58333333334,60404.33333333334,63804.58333333334,66508.5,74146.75,78033.91666666669,77578.58333333331,84932.08333333331,92070.9,95385.4524
8,Abell,MD,,,175564.83333333337,176139.41666666663,183399.25,184508.3333333333,187855.66666666663,206009.75,217026.5,204279.91666666663,198006.3,207510.6024
9,Aberdeen,MD,183539.9,166265.625,164532.58333333334,157791.70833333334,164740.79166666666,152399.2083333333,156971.24999999997,158471.4583333333,174843.6666666667,175636.87499999997,183692.5,191625.33714999998
10,Aberdeen,MS,,,57473.375,56537.41666666666,56736.25,60916.16666666666,63948.66666666666,62948.91666666666,63789.83333333334,65017.5,68210.3,72030.07680000001
11,Aberdeen,NC,105520.3,102456.41666666669,101026.75,101417.41666666669,111547.91666666669,105710.41666666669,98983.41666666669,104062.5,110942.5,115998.58333333331,117741.1,123981.3783
12,Aberdeen,OH,62244.5,62922.0,62074.75,60601.08333333334,59763.41666666666,62515.75,65143.33333333334,64790.16666666666,63461.0,69899.16666666669,73327.0,76993.35
13,Aberdeen,SD,102739.4,103586.83333333331,102363.5,103949.75,108494.5,111847.41666666669,117976.66666666669,124842.33333333331,130472.0,134933.33333333337,137052.7,142123.6499
14,Aberdeen,WA,59155.2,55631.41666666666,54203.83333333334,55897.75,58942.0,64426.66666666666,73260.0,80143.91666666669,97733.83333333331,115418.5,132615.6,142959.61680000002
15,Abernathy,TX,48026.2,46159.0,46256.83333333334,47270.41666666666,49554.25,50830.25,53343.5,56771.16666666666,61452.66666666666,60177.75,60400.9,63541.7468
16,Abilene,KS,85157.4,84378.5,83421.41666666669,83276.66666666669,84764.75,86646.0,88510.75,88891.91666666669,90834.16666666669,91761.16666666669,92995.5,97087.302
17,Abilene,TX,76664.08,72719.76666666666,73720.78333333333,74191.23333333335,77786.68333333332,79365.43333333332,83564.66666666667,87255.96666666666,90594.90000000001,95077.58333333333,101937.14,106881.40633999999
18,Abingdon,IL,41366.1,40978.25,40928.41666666666,42697.0,43564.0,43262.41666666666,44104.5,45488.08333333334,47743.08333333334,49463.25,51676.9,53847.32980000001
19,Abingdon,MD,193728.1,183874.5,175004.0,176208.25,180622.8333333333,180316.41666666663,181494.0,185881.25,190886.8333333333,194959.66666666663,203015.8,212963.5742
