index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Abbeville,AL,83625.4,78820.08333333331,76151.08333333331,76413.25,80334.66666666669,84238.58333333331,85812.58333333331,87879.41666666669,92019.75,95846.91666666669,97025.0,101488.15
1,Abbeville,GA,58410.2,55944.75,51777.75,50844.5,52335.58333333334,54921.0,55439.5,58933.08333333334,60544.91666666666,63721.08333333334,65547.5,68038.30500000001
2,Abbeville,LA,,,,,96220.5,104314.66666666669,109749.75,120574.0,122465.66666666669,123641.41666666669,124267.6,128244.1632
3,Abbeville,MS,132311.4,129525.91666666669,127872.5,130991.41666666669,135173.08333333337,141204.58333333337,151045.08333333337,161557.91666666663,171229.66666666663,178149.91666666663,182467.7,189036.5372
4,Abbeville,SC,97002.2,94983.33333333331,95119.25,99361.41666666669,105204.58333333331,114372.33333333331,120739.5,121047.91666666669,127646.83333333331,134110.16666666663,139476.4,145613.3616
5,Abbot,ME,127052.3,114184.0,105948.66666666669,111434.0,109413.58333333331,107304.0,107950.75,107376.08333333331,114057.5,118347.5,126548.2,133634.8992
6,Abbotsford,WI,99533.5,96852.0,100370.58333333331,100422.0,99553.66666666669,101222.41666666669,103912.41666666669,107992.0,115241.25,120251.25,122471.7,127615.5114
7,Abbott,TX,76269.2,73408.58333333331,72185.41666666669,76539.0,81003.16666666669,86426.33333333331,93065.5,98967.33333333331,105447.5,111697.58333333331,117589.9,123116.6253
8,Abbyville,KS,77403.0,75084.75,75679.08333333331,77671.83333333331,79430.66666666669,85956.58333333331,92837.83333333331,100409.5,105585.66666666669,113366.16666666669,118190.7,122445.5652
9,Abell,MD,337020.1,330020.41666666674,309659.75,309824.83333333326,304975.16666666674,307278.33333333326,315694.83333333326,324687.5,340814.75,349746.25,351663.5,368543.348
10,Aberdeen,ID,79170.2,73165.08333333331,73223.41666666669,77630.91666666669,83449.58333333331,89791.25,96161.25,106823.41666666669,121118.41666666669,132446.66666666663,142744.8,150595.76399999994
11,Aberdeen,MD,215659.7,204357.5833333333,194601.0833333333,192210.41666666663,194804.0833333333,201135.3333333333,192524.3333333333,196206.66666666666,203770.62499999997,203684.91666666666,214984.59999999998,224343.51055
12,Aberdeen,MS,,,76707.625,76540.0,77551.0,81544.25,85155.91666666669,91165.75,93579.41666666669,95453.91666666669,99151.1,104703.56160000002
13,Aberdeen,NC,151066.1,149693.41666666663,147154.33333333337,147333.25,148668.91666666663,151909.83333333337,152687.33333333337,156421.75,165689.66666666663,177505.5,186885.9,196790.8527
14,Aberdeen,OH,92537.3,89225.41666666669,88267.25,85474.58333333331,87190.91666666669,89976.08333333331,92992.16666666669,96859.0,100370.58333333331,106902.33333333331,110929.3,116475.765
15,Aberdeen,SD,129273.7,130207.58333333331,130385.08333333331,134009.58333333337,139556.16666666663,145276.75,152457.0,161054.66666666663,168925.75,175659.33333333337,178815.9,185432.0883
16,Aberdeen,WA,100909.0,94575.91666666669,92413.33333333331,95420.08333333331,102051.83333333331,111501.83333333331,123318.08333333331,134674.0,154826.25,176608.83333333337,195136.2,210356.82360000003
17,Abernathy,TX,87567.0,85976.83333333331,86782.33333333331,89847.83333333331,94573.16666666669,100248.25,106708.25,113404.41666666669,122146.16666666669,124628.25,126187.7,132749.4604
18,Abilene,KS,116945.6,117329.0,117895.33333333331,117979.0,119792.33333333331,123049.41666666669,126490.25,125367.66666666669,127646.75,130538.5,134883.3,140818.1652
19,Abilene,TX,117077.7,114723.13333333335,116391.8833333333,119107.91666666667,125870.88333333333,129081.65,134730.11666666664,140154.68333333332,145921.03333333333,151661.95,155234.87999999998,162813.86692
20,Abingdon,IL,59764.3,58573.83333333334,58412.5,59485.66666666666,61573.33333333334,63987.66666666666,66628.08333333331,69212.91666666669,72294.83333333331,74791.58333333331,76324.3,79529.92060000001
21,Abingdon,MD,231078.1,219584.0833333333,211344.3333333333,214845.0,218255.66666666663,216049.3333333333,217271.66666666663,223009.3333333333,228918.5,231334.5,238691.2,250387.0688
22,Abingdon,VA,155182.34999999998,151753.0,150479.3333333333,151861.66666666663,155114.9166666667,159364.125,164051.9583333333,169723.99999999997,176316.66666666663,184578.0416666667,189719.4,197308.17600000004
23,Abington,MA,293751.8,281732.25,274595.91666666674,284777.91666666674,300577.08333333326,306862.41666666674,328064.58333333326,350355.33333333326,373729.75,385363.0,396290.7,416897.8164
24,Abington Township,PA,257666.76,248063.34999999995,239556.2,237952.6833333333,241848.8,246182.8666666666,246688.3,254703.4833333333,265607.0666666667,272817.0166666666,276953.66000000003,290099.98188000004
25,Abiquiu,NM,273990.1,262058.08333333328,231296.16666666663,221951.0833333333,227211.91666666663,237447.08333333328,240456.75,228059.75,231613.25,234222.83333333328,229572.3,238755.19199999998
26,Abita Springs,LA,175346.0,167043.16666666663,160474.5,167860.0,177325.83333333337,182910.5833333333,187262.8333333333,193985.25,194845.5833333333,192998.5,202012.1,211708.6808
27,Abrams,WI,185341.9,180202.75,179316.91666666663,179284.66666666663,182100.0833333333,188217.8333333333,197075.3333333333,208804.5,223184.91666666663,238429.0,247711.6,257867.7756
28,Absarokee,MT,185039.6,182600.5833333333,184976.16666666663,192733.3333333333,202058.75,212460.16666666663,221733.66666666663,236146.5,255530.83333333328,268869.66666666674,288735.8,304616.269
29,Absecon,NJ,204083.0,188566.5833333333,178697.66666666663,173059.41666666663,171365.75,169291.91666666663,159788.75,154652.66666666663,164559.08333333337,173781.66666666663,181779.1,191413.3923
30,Acampo,CA,267941.3,252701.66666666663,258967.75,293378.41666666674,356272.08333333326,387295.0,438768.66666666674,484764.5,529664.8333333335,546076.25,554164.1,585751.4537
31,Accident,MD,173785.1,167832.25,162856.0,164832.58333333337,171658.25,176820.25,181851.66666666663,187756.5,193168.5833333333,197282.66666666663,200319.3,207330.4755
32,Accokeek,MD,267229.6,239469.58333333328,229437.08333333328,243767.66666666663,249595.25,259091.25,268935.58333333326,286189.66666666674,297621.58333333326,303953.66666666674,313491.0,330106.023
33,Accomac,VA,118198.66666666669,121254.08333333331,120904.08333333331,125595.5,139086.83333333337,145486.91666666663,149380.91666666663,152047.25,154938.41666666663,156880.08333333337,161734.3,169174.0778
34,Achille,OK,50861.4,49423.83333333334,51854.58333333334,50758.41666666666,51127.0,53147.16666666666,54755.91666666666,56781.33333333334,59336.58333333334,61419.91666666666,65594.5,68546.2525
35,Ackerman,MS,60564.3,60468.83333333334,60338.5,59896.08333333334,59684.0,61896.58333333334,65134.66666666667,68118.875,69164.66666666666,72859.41666666666,73532.15,76152.78085000001
36,Ackley,IA,102233.4,101456.08333333331,99498.5,103296.91666666669,107327.08333333331,112203.5,113971.16666666669,115967.83333333331,119710.75,122661.91666666669,125220.7,130479.9694
37,Ackworth,IA,193774.4,179749.25,174735.58333333337,175935.83333333337,178429.5,178825.16666666663,183331.91666666663,187635.5833333333,198877.75,217609.5,229030.2,240252.6798
38,Acme,WA,264893.7,239584.91666666663,217960.3333333333,215711.16666666663,230095.91666666663,256121.08333333328,282569.25,306565.83333333326,330488.83333333326,360417.33333333326,379830.1,396542.6244
39,Acton,CA,366495.6,341111.75,321420.75,377427.58333333326,422906.16666666674,452404.25,496260.75,514845.16666666674,547854.1666666665,556101.9166666665,575457.2,605956.4315999999
40,Acton,MA,357134.2,350580.70833333326,336330.4166666666,351151.5833333334,365091.33333333326,371986.9166666666,395495.0,409653.7916666666,439879.45833333326,452846.7499999999,455760.3,472754.12295
41,Acton,ME,211332.2,209593.5,204161.75,206997.8333333333,207742.25,200641.8333333333,211275.5,226728.58333333328,244889.16666666663,253069.0,269101.7,280673.0731
42,Acton,MT,153578.6,158997.66666666663,156269.83333333337,173313.83333333337,183644.0,187860.8333333333,197303.25,216961.75,212737.8333333333,224018.5833333333,238894.2,247494.3912
43,Acushnet,MA,267530.0,252515.08333333328,238348.0,244505.5,256011.0,263952.41666666674,275740.58333333326,295798.41666666674,309641.58333333326,323406.5,331075.4,348622.3962
44,Acworth,GA,149986.0,127289.45833333334,120361.41666666666,131459.79166666666,148916.45833333337,157864.91666666663,168456.625,177724.4166666667,194323.8333333333,210920.41666666666,222891.2,233916.46625
45,Acworth,NH,,,148686.35,150405.87499999997,157031.83333333334,163183.8333333333,170003.625,177458.375,185166.58333333334,193092.125,199958.0,207839.81535
46,Ada,MN,,,,,,64785.63636363637,72811.25,80358.33333333331,85486.91666666669,87502.91666666669,90263.6,93783.8804
47,Ada,OH,105799.4,103354.16666666669,103133.75,103447.0,107052.91666666669,110901.75,116706.33333333331,123121.33333333331,131491.16666666663,138890.33333333337,143199.4,149643.37300000002
48,Ada,OK,82062.3,80806.25,84055.25,86065.33333333331,85550.5,90735.16666666669,97804.08333333331,101236.16666666669,107177.0,105106.66666666669,111263.8,115714.352
49,Adair,IA,90166.4,88892.08333333331,84674.5,87458.33333333331,85348.91666666669,86710.08333333331,85374.33333333331,86020.83333333331,88757.91666666669,92197.66666666669,94376.3,98717.6098
50,Adair,IL,43246.5,42365.66666666666,42976.16666666666,44907.75,48978.16666666666,51643.83333333334,55265.66666666666,56872.58333333334,61114.58333333334,63978.91666666666,66340.2,68861.12759999999
51,Adair,OK,110834.6,109543.16666666669,111969.25,113617.16666666669,117469.33333333331,121709.25,127394.58333333331,132477.25,140678.83333333337,147368.08333333337,153096.4,159526.4488
52,Adairsville,GA,116317.8,108875.25,104311.58333333331,107650.16666666669,114859.33333333331,122068.66666666669,130588.08333333331,139627.83333333337,151753.66666666663,166479.41666666663,173690.6,182722.5112
53,Adairville,KY,69849.8,69359.0,70511.41666666669,71266.66666666669,72795.5,75617.5,78631.75,82767.91666666669,90551.25,95380.33333333331,97117.9,98768.90429999998
54,Adams,MA,151309.4,149670.58333333337,139164.25,139252.25,140085.08333333337,142847.5,141361.16666666663,145106.75,150229.75,156034.75,159972.6,166531.4766
55,Adams,MN,114093.4,108990.0,108044.58333333331,113023.5,118555.91666666669,123320.16666666669,128047.41666666669,135096.41666666663,140786.66666666663,144274.41666666663,150238.9,157901.0839
56,Adams,NE,137837.1,141297.0,144602.0,149711.5,155405.41666666663,162287.16666666663,170369.91666666663,182493.25,192887.5833333333,204436.91666666663,213214.9,222383.1407
57,Adams,OK,,,,,,85412.22222222223,86401.58333333331,89418.0,94720.08333333331,102014.25,108404.9,113933.54989999998
58,Adams,OR,170143.3,167134.91666666663,168631.41666666663,180022.58333333337,196085.0833333333,213868.5833333333,240647.83333333328,262619.5,280502.58333333326,287795.83333333326,289918.0,303834.064
59,Adams,TN,212876.2,214620.3333333333,214341.75,217631.91666666663,227466.5,227663.0,229921.83333333328,236725.66666666663,249677.16666666663,262823.66666666674,275369.5,291340.93100000004
60,Adams,WI,87794.7,85960.75,85344.91666666669,84723.66666666669,82043.58333333331,82782.33333333331,87738.66666666669,90903.66666666669,96198.0,101681.41666666669,105160.4,109156.4952
61,Adams Center,NY,139570.75,141797.66666666663,151642.29166666663,152776.6666666667,152934.75,153257.6666666667,151682.66666666663,152600.95833333337,153520.4166666667,155993.08333333337,154370.25,159335.4378
62,Adams Run,SC,,,,132000.0,136439.91666666663,144984.75,153061.16666666663,149032.91666666663,167060.08333333337,178845.25,191285.3,199510.5679
63,Adams Township,PA,,,125036.33333333331,123618.5,111834.41666666669,112615.5,116476.5,123137.41666666669,117553.0,119834.83333333331,131712.1,142380.7801
64,Adamstown,MD,320721.4,294423.41666666674,298099.5,313627.33333333326,330179.08333333326,327615.5,329396.91666666674,348602.83333333326,359710.33333333326,371370.91666666674,367245.3,382669.6026
65,Adamstown,PA,186445.5,176943.75,170200.75,172503.83333333337,175217.25,174592.0,179832.0,184645.5833333333,193817.25,197209.8333333333,203404.3,212557.4935
66,Adamsville,AL,88597.6,80597.83333333331,73702.0,75834.5,78826.41666666669,80079.33333333331,81698.25,82295.91666666669,91031.25,100036.41666666669,108469.6,110638.992
67,Adamsville,OH,92985.9,89282.58333333331,88664.25,90357.66666666669,92456.16666666669,95692.91666666669,100337.58333333331,105799.0,112329.25,116972.58333333331,123039.6,129068.5404
68,Adamsville,TN,83339.0,81446.41666666669,80782.5,81211.25,83806.08333333331,86764.25,91555.58333333331,97292.75,103317.16666666669,107545.75,110916.9,115686.3267
69,Addieville,IL,93184.3,92366.66666666669,90060.75,89249.33333333331,93686.08333333331,97961.5,101840.58333333331,106693.75,111410.58333333331,118708.5,122999.7,128780.68589999998
70,Addington,OK,37893.0,36727.0,36964.91666666666,33956.75,34274.5,35752.916666666664,37581.0,37208.41666666666,37803.833333333336,37315.833333333336,36494.7,
71,Addis,LA,192852.2,185524.5833333333,185167.0,187681.25,191279.91666666663,198244.5,204777.0833333333,209491.0833333333,213555.0833333333,220097.0833333333,224208.9,232953.0471
72,Addison,AL,73690.9,69613.75,68682.25,70043.5,67600.08333333331,73571.91666666669,69860.33333333331,68542.16666666669,74179.33333333331,82036.83333333331,85310.0,89063.64
73,Addison,IL,225974.8,203934.0,181577.3333333333,189531.8333333333,206259.5,215649.8333333333,222568.0833333333,238584.58333333328,247265.08333333328,253461.58333333328,258108.3,268174.5237
74,Addison,ME,119430.4,119851.5,113461.25,110228.58333333331,105649.91666666669,106257.58333333331,110317.5,116049.41666666669,125054.83333333331,130569.41666666669,138214.4,145677.9776
75,Addison,MI,114396.5,108038.75,105888.75,107111.16666666669,121621.25,125844.41666666669,135439.0,145707.58333333337,151999.08333333337,159466.41666666663,157393.6,165892.8544
76,Addison,TX,269467.8,263419.33333333326,264944.5,281494.41666666674,300460.58333333326,320908.33333333326,341768.25,365317.66666666674,377304.91666666674,381694.08333333326,384667.6,400438.97159999993
77,Addison,WI,205355.9,188070.0833333333,177259.83333333337,179644.25,189097.0,200907.5833333333,214091.91666666663,223369.5833333333,230730.66666666663,246641.75,254739.2,265438.2464
78,Addison (Webster Springs),WV,,,,,,,42196.42857142857,43101.66666666666,44973.0,47104.83333333334,47471.1,49085.1174
79,Addison Township,PA,109046.15,108623.33333333334,109828.79166666666,111498.33333333331,112508.66666666666,115330.58333333334,119740.79166666669,126657.41666666669,135728.58333333334,140151.83333333334,145856.95,153635.11185
80,Addy,WA,166363.2,161337.08333333337,165905.75,176199.75,190202.5,210287.8333333333,228558.66666666663,249230.66666666663,266769.58333333326,277152.0,283373.8,296408.9948
81,Addyston,OH,,,,,64822.41666666666,56332.0,48960.25,51733.58333333334,54270.58333333334,61366.25,64756.9,69613.6675
82,Adel,GA,85122.6,79034.16666666669,75585.08333333331,78181.41666666669,84285.5,89811.5,96244.83333333331,101685.75,104906.58333333331,109930.58333333331,113030.9,118117.2905
83,Adel,IA,188476.1,192406.25,204198.0,206344.0833333333,212888.5,218538.25,235166.08333333328,247810.58333333328,259575.91666666663,266585.16666666674,270027.0,282178.215
84,Adelanto,CA,85961.1,83420.5,82699.0,102657.75,134853.83333333337,145837.08333333337,157988.83333333337,175375.75,196378.75,210340.41666666663,220138.7,231806.0511
85,Adelphi,OH,79746.3,77266.25,75504.16666666669,76008.16666666669,76738.0,78734.91666666669,83652.66666666669,85506.0,92099.58333333331,103686.0,112714.2,118800.7668
86,Adena,OH,67445.2,66888.66666666669,67913.0,68848.41666666669,67327.83333333331,71427.33333333331,76073.66666666669,80223.16666666669,84968.0,89700.91666666669,96851.8,101403.8346
87,Adin,CA,90133.7,87219.83333333331,89191.75,102221.58333333331,118059.08333333331,128811.08333333331,136081.33333333337,140549.66666666663,145624.83333333337,147585.83333333337,144694.7,149035.54100000006
88,Adkins,TX,171945.6,170545.25,172251.0,178213.58333333337,190044.91666666663,207385.0833333333,216955.41666666663,236692.91666666663,250218.75,256558.33333333328,263248.3,272988.4871
89,Admire,KS,94435.9,96787.91666666669,105486.91666666669,100210.16666666669,102659.25,109517.16666666669,116415.66666666669,124951.75,136967.33333333337,137559.58333333337,133266.5,138730.4265
90,Adolphus,KY,67682.2,63505.16666666666,60132.16666666666,59462.83333333334,60634.25,63349.08333333334,65530.25,69451.75,75129.33333333331,81581.08333333331,85602.2,89539.90120000002
91,Adona,AR,82759.5,81036.91666666669,86867.5,94986.66666666669,99697.91666666669,96410.16666666669,99863.41666666669,103566.91666666669,106346.91666666669,121752.66666666669,121470.3,122442.0624
92,Adrian,GA,43727.7,41622.083333333336,40966.75,44221.08333333334,48312.5,51857.5,57556.25,61183.83333333334,63836.5,66948.91666666669,70040.8,72912.4728
93,Adrian,MI,97130.2,92298.83333333331,89682.75,92621.66666666669,98991.25,107912.83333333331,114880.83333333331,124253.5,134013.83333333337,140391.41666666663,148431.3,155407.57109999994
94,Adrian,MN,88659.375,100045.41666666669,97413.91666666669,98496.91666666669,97978.5,109812.83333333331,107094.25,108794.5,116932.83333333331,120180.25,124294.8,128396.5284
95,Adrian,MO,117397.5,113976.66666666669,113849.08333333331,112470.75,111128.33333333331,117129.41666666669,122023.0,129205.25,139111.33333333337,147562.5,153123.9,159861.3516
96,Adrian,OR,181825.9,170041.08333333337,158694.66666666663,161301.83333333337,182436.66666666663,196670.66666666663,221785.91666666663,250826.75,273810.0,287323.0,284972.0,289816.524
97,Advance,IN,,,,78395.5,82283.0,88589.0,92518.75,93246.25,100340.5,119752.75,132424.1,137323.7917
98,Advance,MO,82613.4,82905.0,86301.25,87759.83333333331,90780.25,92299.91666666669,97742.91666666669,105006.66666666669,112694.08333333331,118773.33333333331,123868.0,129194.32400000001
99,Advance,NC,192566.3,186420.16666666663,182736.5833333333,184382.41666666663,188934.16666666663,196185.3333333333,204065.25,214511.0833333333,226984.41666666663,237833.16666666663,245386.0,256428.37
100,Affton,MO,151131.1,141957.16666666663,134302.41666666663,135846.41666666663,138609.83333333337,141819.91666666663,148140.66666666663,156885.33333333337,162711.66666666663,170303.41666666663,174462.5,184930.25
101,Afton,IA,84717.7,86994.91666666669,88209.25,90700.75,93267.25,96645.75,98959.33333333331,100326.33333333331,100377.91666666669,104523.5,107371.6,111666.464
102,Afton,MI,,,59193.66666666666,60659.58333333334,62118.5,70140.25,80328.5,83014.5,92615.83333333331,103311.41666666669,106904.4,110004.62759999998
103,Afton,MN,382851.2,378161.83333333326,358538.75,376084.41666666674,404477.25,402843.75,425557.0,429765.83333333326,448186.16666666674,460755.25,480970.0,505980.44
104,Afton,OK,149594.2,147922.75,151143.75,157188.83333333337,162674.5,168214.58333333337,177388.33333333337,184668.91666666663,192814.8333333333,198928.3333333333,210390.7,218595.9373
