RegionName,AGI
35004,65131.57894736842
35007,71577.95473595976
35010,57743.97972116603
35019,48721.59090909091
35020,32338.709677419356
35022,68953.43137254902
35023,55410.925196850396
35031,50790.37800687285
35034,43216.91176470588
35040,60144.97422680412
35042,54531.963470319635
35044,50846.77419354839
35049,54025.97402597403
35051,75079.25072046109
35054,84805.55555555556
35058,63511.76470588235
35061,39717.74193548387
35063,46045.08196721312
35064,38692.77108433735
35068,56838.62433862434
35072,43002.79329608939
35073,43236.84210526316
35079,60190.140845070426
35080,89806.27306273063
35083,49380.1652892562
35096,60886.16714697406
35114,83285.2564102564
35116,76388.88888888889
35118,51514.598540145984
35125,52018.56148491879
35136,51445.3125
35143,70472.44094488189
35150,51396.103896103894
35151,60311.44781144781
35160,49104.93827160494
35172,48272.72727272727
35173,107363.56648731745
35176,47285.71428571428
35180,66363.24041811847
35183,52083.333333333336
35188,58409.09090909091
35206,36633.587786259544
35207,30926.517571884982
35209,118210.13289036545
35211,37330.09708737864
35212,44879.38596491228
35214,43546.93140794224
35215,39271.25506072875
35217,39464.64646464647
35221,31193.18181818182
35222,109023.34152334153
35223,250181.15942028986
35224,35337.20930232558
35226,132213.9084507042
35234,30432.96089385475
35235,48247.282608695656
35242,157311.8174726989
35405,56706.717640633535
35406,163392.85714285713
35443,32575.757575757576
35444,52154.60526315789
35452,64109.375
35453,55154.32098765432
35456,56438.547486033516
35461,49420.289855072464
35462,37700.53475935829
35463,51635.8024691358
35464,28157.894736842107
35473,68289.29068150208
35474,56773.35640138408
35475,91251.79340028694
35480,57611.94029850746
35481,43378.90625
35490,57612.3595505618
35501,51215.469613259665
35503,57756.79758308157
35540,48218.085106382976
35543,40855.26315789474
35544,43695.65217391304
35552,46571.42857142857
35553,55029.94011976048
35554,49285.71428571428
35555,52241.84782608696
35563,54312.5
35564,43589.743589743586
35571,43629.032258064515
35574,52962.96296296296
35578,46675.82417582418
35580,50221.08843537415
35581,43875.66137566137
35582,56227.27272727273
35585,50791.666666666664
35592,53328.31325301205
35594,59175.257731958765
35613,96822.97154899895
35616,49020.97902097902
35620,59803.66492146597
35622,51363.63636363636
35640,67839.53488372093
35643,45058.59375
35646,53659.21787709497
35647,54360.46511627907
35651,49941.86046511628
35653,51657.30337078652
35654,49490.29126213592
35670,64274.44794952682
35671,50574.71264367816
35739,60311.059907834104
35740,48473.28244274809
35747,64272.54098360656
35749,84090.90909090909
35752,48231.70731707317
35756,111892.46658566222
35757,97281.74603174604
35758,117962.35294117648
35760,58897.05882352941
35761,77523.80952380953
35763,140395.49653579676
35764,38586.95652173913
35765,47517.24137931035
35768,54211.66306695464
35769,78010.68883610451
35771,46276.97841726619
35773,64104.88245931284
35776,46660.83916083916
35802,109942.32475598935
35811,74706.80218921031
35824,104030.61224489796
35903,47430.458970792766
35904,45124.760076775434
35950,47476.851851851854
35952,46775.092936802976
35953,57904.0404040404
35954,45150.5376344086
35956,50217.391304347824
35957,49751.57728706625
35958,51326.086956521736
35960,60918.91891891892
35962,40748.106060606064
35966,47248.06201550388
35971,49378.53107344633
35973,46544.117647058825
35975,47432.43243243243
35978,49653.46534653466
35979,42547.16981132075
35980,42939.56043956044
35987,49613.40206185567
35988,44311.59420289855
35989,58320.3125
36009,50096.153846153844
36024,70873.6059479554
36027,52144.64882943144
36028,45294.117647058825
36030,37105.26315789474
36032,36634.61538461538
36036,45791.13924050633
36039,28750.0
36043,66179.24528301887
36047,42061.40350877193
36052,112357.14285714286
36064,122157.73809523809
36066,71337.59733036708
36067,65896.73913043478
36071,39779.41176470588
36075,44494.04761904762
36078,57150.44247787611
36079,59769.64769647697
36080,75072.11538461539
36088,33838.38383838384
36089,39178.08219178082
36092,57702.312138728324
36093,92791.82879377432
36104,51273.76425855514
36105,41176.814988290396
36110,32019.867549668874
36115,52600.0
36116,49898.74110563766
36201,35662.225705329154
36203,61139.61813842482
36205,50227.27272727273
36206,46274.834437086094
36207,71700.72115384616
36262,46105.769230769234
36263,50760.86956521739
36266,50456.62100456621
36269,48369.565217391304
36271,57113.82113821138
36272,50254.7770700637
36273,56095.23809523809
36274,45041.079812206575
36277,47746.78111587983
36278,71753.92670157069
36303,68348.53291038857
36305,95064.56241032999
36310,54012.60504201681
36312,60797.87234042553
36316,56678.08219178082
36317,43529.41176470588
36319,54862.63736263736
36343,39342.10526315789
36345,66666.66666666667
36346,51919.642857142855
36351,57304.964539007095
36353,48704.819277108436
36362,54034.48275862069
36370,46858.97435897436
36373,34772.72727272727
36375,52316.43356643357
36376,43970.58823529412
36401,48009.09090909091
36425,35833.333333333336
36426,55461.46953405018
36432,42715.05376344086
36436,42058.82352941176
36441,49038.46153846154
36442,42743.36283185841
36444,39772.72727272727
36451,62845.744680851065
36453,49943.8202247191
36460,58639.05325443787
36471,38937.5
36477,51871.34502923977
36480,50321.42857142857
36481,28750.0
36483,43194.444444444445
36502,48922.204213938414
36505,55887.096774193546
36507,58339.622641509435
36518,76464.64646464646
36521,58942.78606965174
36524,46000.0
36525,54722.22222222222
36526,87214.88402061856
36532,110359.375
36535,52700.2245508982
36539,57592.59259259259
36542,74696.74556213018
36544,48626.126126126124
36548,60265.95744680851
36553,46829.26829268293
36555,92131.14754098361
36558,56511.62790697674
36561,108657.63546798029
36567,53940.31141868512
36569,55937.5
36571,68156.20542082739
36575,58898.84393063584
36576,59254.807692307695
36579,55186.567164179105
36580,53826.3358778626
36582,59880.59701492537
36585,56486.48648648649
36587,54540.9429280397
36602,85952.38095238095
36603,31794.354838709678
36604,71711.22994652406
36605,40226.423902894494
36606,49447.2049689441
