RegionName,AGI
35004,66793.26923076923
35007,73852.69709543568
35010,61125.63775510204
35019,50337.07865168539
35020,33150.83798882682
35022,70385.93903638152
35023,57574.11067193676
35031,52956.08108108108
35034,44179.3893129771
35040,63683.37563451777
35042,58883.92857142857
35044,53673.633440514466
35049,62070.06369426752
35051,79473.68421052632
35054,86502.80898876404
35058,66117.02127659574
35061,41612.903225806454
35063,50163.934426229505
35064,39692.118226600986
35068,58808.59375
35072,43351.95530726257
35073,45053.1914893617
35079,65532.21288515406
35080,95547.15840386941
35083,52029.91452991453
35096,63753.6231884058
35114,85490.50632911392
35116,83014.70588235294
35118,53750.0
35125,53761.21076233184
35136,53863.63636363636
35143,71915.32258064517
35150,52860.71428571428
35151,63180.272108843536
35160,50876.690946930285
35172,48552.63157894737
35173,113561.64383561644
35176,49696.969696969696
35180,69713.04347826086
35183,51724.137931034486
35188,59868.42105263158
35206,37910.15625
35207,31881.02893890675
35209,125006.2656641604
35211,38433.73493975904
35212,47466.29213483146
35214,44336.609336609334
35215,40093.01732925586
35217,40668.36734693877
35221,33073.529411764706
35222,117500.0
35223,254986.51079136692
35224,36044.60093896714
35226,138388.42975206612
35234,31278.409090909092
35235,49595.032397408206
35242,165232.53570050173
35405,58922.01834862385
35406,167514.34720229555
35443,35652.17391304348
35444,54580.645161290326
35452,67329.19254658386
35453,59762.6582278481
35456,57142.857142857145
35461,51044.77611940299
35462,38365.38461538462
35463,53878.205128205125
35464,29583.333333333332
35473,71965.5172413793
35474,60512.15277777778
35475,94911.4730878187
35480,60955.882352941175
35481,45519.230769230766
35490,63667.58241758242
35501,55352.20994475138
35503,61576.576576576575
35540,51000.0
35543,45000.0
35544,42500.0
35552,48108.10810810811
35553,60282.73809523809
35554,55000.0
35555,54965.65934065934
35563,56217.53246753247
35564,46234.17721518988
35571,46015.625
35574,54508.92857142857
35578,49320.65217391304
35580,52191.78082191781
35581,46164.021164021164
35582,57623.456790123455
35585,51916.666666666664
35592,54670.658682634734
35594,61345.48611111111
35613,103540.38854805726
35616,51232.142857142855
35620,63783.244680851065
35622,52835.14492753623
35640,71579.5559666975
35643,46889.76377952756
35646,55167.59776536313
35647,53977.27272727273
35651,52865.85365853659
35653,53463.71882086168
35654,50333.333333333336
35670,64490.595611285265
35671,67527.17391304347
35739,64363.63636363636
35740,51190.47619047619
35747,70534.2741935484
35749,88321.6059602649
35752,50617.28395061728
35756,118578.86089813801
35757,100106.1776061776
35758,123317.48608534323
35760,65924.17061611374
35761,82331.77570093458
35763,151399.66740576498
35764,41666.666666666664
35765,48775.862068965514
35768,58329.694323144104
35769,81390.88729016787
35771,48731.884057971016
35773,66757.46924428822
35776,49062.5
35802,116257.62859633827
35811,78855.6338028169
35824,110793.47826086957
35903,48446.22905027933
35904,47680.95238095238
35950,50095.93023255814
35952,50959.40959409594
35953,62467.10526315789
35954,46812.22707423581
35956,52621.08262108262
35957,51861.02236421725
35958,51702.58620689655
35960,61531.83023872679
35962,45696.564885496184
35966,50057.251908396946
35971,50266.85393258427
35973,48275.0
35975,48500.0
