State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NY,New York,355577.04349758907,351087.9814867425,342723.74238095287,345693.6498232825,363239.09115171334,383732.6214083007,393579.15802059334,400656.12556921307,415780.2499618026,421876.7341057637,420858.84848484816,437599.39703392866
OH,Ohio,124756.00000000001,119528.50884353742,114638.66861337586,114835.32619624112,116898.12264705887,120346.32424085564,123897.81759049771,129651.43375303558,136681.11470233792,143574.08803326107,149547.53991323206,157026.36743804347
OK,Oklahoma,96526.07000000002,96187.80438184664,95159.65509259258,95808.1626126126,99571.3522222222,102371.2811111111,106916.84008438817,108527.56388888888,110090.05810606062,113374.90370370368,117545.78666666668,122948.58983111111
OR,Oregon,189431.79465648858,174048.94352617074,166209.8527250113,175898.39604341742,190638.4462560386,204841.13488178488,225103.94264367822,244454.95490867583,260012.2791403973,269540.9731543625,277322.89261744975,290508.3340597314
PA,Pennsylvania,172850.96664772736,165216.5177820809,160583.29010664127,160118.34050385593,162536.5783922173,163618.49127659583,166392.84048611106,169553.11563573885,175976.48251453938,182438.02996632992,187932.1200000001,197130.44763535366
RI,Rhode Island,233618.1765957447,234788.8981481481,217266.58673469388,218047.18537414965,226538.60583333328,227009.15833333338,233373.05196078427,242201.36698717953,258097.92924528292,265787.2311320755,274139.637735849,286987.59802452836
SC,South Carolina,144603.8556603773,135483.09851463517,131137.34785932722,132640.53374088375,138677.821408046,144628.18945868948,148500.13794037947,157401.82743764174,166479.16391076116,173581.66666666666,178271.3141732283,186885.85078976388
SD,South Dakota,142071.2214285714,142768.94444444447,141773.34444444443,148056.5722222222,154817.00555555554,161083.1388888889,161429.59074074068,168633.935,173844.625,179666.0,183312.2227272727,191196.83704999994
TN,Tennessee,157024.06547619053,150474.45500000002,147337.23444355276,146557.3480952382,150616.46261022927,154469.76271477668,165737.08823507343,176173.2674565561,183478.42028619527,192972.45852359218,202217.0484018265,212700.3355748858
TX,Texas,129760.27600485085,124723.86988047232,124378.75688143766,129519.81126184319,139277.76456948192,149379.67929121762,161498.50810772224,169603.58756176857,176877.26209062283,184772.97011019287,190400.45999999993,199211.44741572835
UT,Utah,192620.72631578948,178401.98802083338,174098.51073883162,187875.1169191919,198176.85016835018,203897.5054219707,217321.88937908498,234631.41067961167,257924.62793650792,277988.0539682539,291636.78,307117.6586819048
VA,Virginia,211111.2325932623,204727.2514705882,202574.44747899158,208780.68780873352,214531.01155734045,215580.38240740722,217752.80446194223,220901.5854384998,227098.4296206339,235465.5871501274,244130.00343511446,255999.5322320612
VT,Vermont,198382.43958333324,203484.8669444444,208642.06971153847,206400.69103773579,206372.60691823898,206467.53930817608,206764.97012578615,210574.57575757575,215607.6572504708,221976.2104519774,226109.7949152543,235161.09035762705
WA,Washington,201782.91218487386,181632.84999999998,168230.01935271083,178127.8166666666,190816.6863125764,205761.95998551507,227854.67866161614,254795.631548017,286731.32851985545,299104.1922382672,312472.3162454873,329677.4942747292
WI,Wisconsin,156538.979955842,148848.70104551048,142977.3579021259,142982.93827524126,147136.45190534106,151434.83936877077,156019.4622807018,164000.38257820936,174454.6170405984,182604.28151709403,189997.4512820513,199141.77884743595
WV,West Virginia,123558.80606060608,120323.66481481482,118861.73842592591,118003.63963963967,120519.42643467645,121065.4947089947,121076.4113475177,122231.4734042553,127829.58753865183,130264.03401360539,133183.68571428573,139078.51007959183
WY,Wyoming,203730.30588235296,204301.1814814815,212770.60185185185,214673.74537037034,220555.64814814812,228698.4351851852,229699.15789473685,222996.5291666667,227848.49166666664,235524.4625,244761.635,253638.61611
