RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10025,New York,NY,948754.5,992798.5,1002068.0833333334,1062731.5,1197937.3333333333,1304743.3333333333,1388723.0,1366847.0833333333,1339411.8333333333,1370234.9166666667,1221575.1,1248449.7522000002
60657,Chicago,IL,361499.7,338924.5,322068.0833333333,338746.3333333333,368119.4166666667,375001.0833333333,384187.9166666667,399303.0,407254.0833333333,405123.75,401198.4,417246.336
10023,New York,NY,798311.2,847427.4166666666,880652.8333333334,930487.75,1044077.0833333334,1124885.3333333333,1191380.9166666667,1192141.75,1178086.1666666667,1112822.3333333333,1124905.9,1173276.8536999999
77494,Katy,TX,150394.2,147514.58333333334,146576.41666666666,152289.41666666666,169794.25,188592.66666666666,193329.0,191697.83333333334,191740.58333333334,200155.83333333334,203449.8,210977.44259999998
60614,Chicago,IL,400756.1,379448.0,363277.75,383481.5833333333,420164.0833333333,430805.6666666667,444307.75,458270.5,464034.5833333333,459381.0833333333,453753.4,470542.2758
77449,Katy,TX,128115.3,124203.58333333333,121471.91666666667,138472.0,144884.0,149751.91666666666,163494.5,181195.91666666666,183775.5,180169.33333333334,192218.1,201060.1326
10002,New York,NY,688230.4,716568.0833333334,734238.1666666666,774141.0,847612.8333333334,917766.3333333334,932500.1666666666,887174.75,838179.5,901265.5,955919.2,978861.2607999999
77084,Houston,TX,80602.0,76436.5,74427.91666666667,79926.83333333333,91032.66666666667,100944.08333333333,107318.41666666667,115058.08333333333,122240.83333333333,130327.91666666667,133799.5,140088.0765
79936,El Paso,TX,111576.3,111001.91666666667,109109.0,109316.0,110095.91666666667,110967.33333333333,110830.75,114241.75,116066.16666666667,121598.16666666667,124025.7,129234.7794
60640,Chicago,IL,244942.1,220582.91666666666,198633.83333333334,207751.75,229982.25,235826.91666666666,243950.08333333334,257885.58333333334,266393.6666666667,269398.5833333333,272866.7,284872.8348
11226,New York,NY,409761.1,401485.25,391930.0,415630.4166666667,424456.4166666667,466313.0,530158.5,561704.0833333334,597017.8333333334,554913.25,540916.7,557685.1177
10467,New York,NY,,,126222.5,123431.58333333333,124623.75,129628.91666666667,133592.5,151135.25,171017.66666666666,171443.16666666666,182144.0,190158.336
78660,Pflugerville,TX,167554.0,159940.0,158558.91666666666,167891.41666666666,176955.83333333334,188336.58333333334,207220.83333333334,223272.25,235561.25,245691.75,256118.9,270205.4395
94109,San Francisco,CA,738485.0,701689.4166666666,722486.1666666666,840041.0,916154.5833333334,999666.0,1061473.9166666667,1049567.5833333333,1105057.75,1110114.5,1134470.1,1176445.4937
10016,New York,NY,561180.5,592559.6666666666,596563.3333333334,623194.5,687435.8333333334,747292.9166666666,779751.6666666666,784170.8333333334,779228.9166666666,764923.0,724612.9,736206.7064
37013,Nashville,TN,120239.7,112972.41666666667,104888.83333333333,107725.58333333333,113136.41666666667,120515.58333333333,133318.75,149599.5,167196.33333333334,175811.08333333334,182749.7,191521.68560000003
32162,The Villages,FL,175469.9,172301.08333333334,171887.16666666666,184865.58333333334,209158.25,222859.58333333334,224498.33333333334,228398.58333333334,237728.08333333334,250299.33333333334,258961.0,271391.128
60647,Chicago,IL,308958.6,283565.9166666667,266226.25,290026.4166666667,322804.8333333333,333224.0,350603.25,369878.25,381043.1666666667,384263.6666666667,385606.1,404886.40499999997
11201,New York,NY,610968.8,601443.0,610432.0,662694.9166666666,767336.75,863127.5,915655.75,888169.75,896208.25,935250.75,875205.3,897085.4325
11235,New York,NY,233273.7,234498.41666666666,233361.66666666666,235116.33333333334,251769.75,267387.0833333333,280319.25,292685.25,325433.0,337543.8333333333,339785.4,349299.3912
