index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Abbeville,AL,143590.0,139104.0,137285.08333333337,136441.08333333337,135566.08333333337,141226.33333333337,144467.41666666663,143060.33333333337,147146.5,152402.5,155201.0,162340.24599999998
1,Abbeville,GA,,,,,,,,68724.88888888889,69833.5,82254.75,83267.2,86431.3536
2,Abbeville,LA,,,,,142620.0,143292.58333333337,147010.5,158795.41666666663,165715.41666666663,169824.16666666663,170622.6,176082.52320000003
3,Abbeville,MS,168524.4,167441.0,166056.83333333337,169734.58333333337,170054.25,184275.75,201760.91666666663,213307.0833333333,224230.91666666663,232568.0,238838.1,247436.2716
4,Abbeville,SC,143879.2,137390.5,133709.5,140427.16666666663,152600.5,161419.83333333337,168164.5,170658.25,184821.16666666663,194162.3333333333,199562.0,208342.728
5,Abbot,ME,148789.0,138506.0,137654.75,139604.75,134642.91666666663,126322.33333333331,121693.33333333331,122825.33333333331,129494.66666666669,133812.33333333337,140652.8,148529.3568
6,Abbotsford,WI,110599.5,105818.66666666669,107953.83333333331,107913.41666666669,105419.41666666669,107256.41666666669,107960.83333333331,113936.25,121917.25,129145.33333333331,132648.5,138219.737
7,Abbott,TX,,,,,,195821.2,206132.25,221056.75,233689.08333333328,243728.58333333328,256799.8,268869.3906
8,Abbyville,KS,93641.1,92681.25,89603.33333333331,89800.08333333331,95354.5,109868.83333333331,120197.66666666669,134552.08333333337,146848.41666666663,156667.58333333337,161439.8,167251.6328
9,Abell,MD,281917.7,282021.33333333326,282774.58333333326,278009.0,273724.66666666674,282160.58333333326,281134.25,304139.08333333326,320828.41666666674,331325.41666666674,345413.8,361993.6624
10,Aberdeen,ID,85658.33333333331,83144.33333333331,84499.16666666669,91218.66666666669,92606.33333333331,96614.83333333331,104477.0,116237.33333333331,131281.75,141854.16666666663,152028.3,160389.85649999994
11,Aberdeen,MD,297806.75,274031.9583333334,251288.41666666663,242147.16666666663,253118.49999999994,237738.29166666666,241293.91666666666,236418.62499999994,247434.75,262940.37499999994,266900.9,278547.01159999997
12,Aberdeen,MS,,,107824.5,114165.41666666669,121043.75,120845.75,118903.91666666669,124039.91666666669,125744.33333333331,126110.66666666669,129799.8,137068.5888
13,Aberdeen,NC,219151.9,219622.41666666663,216076.75,217690.41666666663,220862.25,226310.33333333328,227159.91666666663,234598.16666666663,243259.08333333328,252374.83333333328,266349.9,280466.4447
14,Aberdeen,OH,131373.5,129341.91666666669,126083.75,122635.58333333331,124543.0,131038.0,136275.0,139098.33333333337,140863.83333333337,148009.75,151313.1,158878.755
15,Aberdeen,SD,132122.2,134910.66666666663,136967.66666666663,143217.5,148353.16666666663,156852.5,164950.75,174415.58333333337,182840.66666666663,188040.5833333333,190063.2,197095.5384
16,Aberdeen,WA,120797.6,113557.41666666669,111562.0,115940.66666666669,123955.0,133518.25,147129.16666666663,160616.58333333337,180755.16666666663,205018.8333333333,224341.3,241839.9214
17,Abernathy,TX,154359.3,153320.58333333337,155380.0,160480.91666666663,167895.08333333337,174327.33333333337,182739.5833333333,191188.5833333333,196138.25,207469.0,217119.8,228410.0296
18,Abilene,KS,144349.4,144047.66666666663,144201.83333333337,145044.83333333337,148238.41666666663,151943.0,157693.41666666663,156220.16666666663,160280.16666666663,164595.75,169133.7,176575.58280000003
19,Abilene,TX,166181.66,164243.38333333333,165983.23333333334,170836.95,182262.05,185135.01666666666,191683.4833333333,197674.78333333333,204693.65,213266.85,217004.34,227580.68406000003
20,Abingdon,IL,67596.1,66395.5,66159.08333333331,67684.91666666669,70706.83333333331,74987.91666666669,78836.25,81961.91666666669,85692.66666666669,88349.41666666669,90487.9,94288.3918
21,Abingdon,MD,306048.5,293174.0,290773.91666666674,294816.83333333326,304550.58333333326,303041.25,308751.0,314271.16666666674,324616.5,331404.08333333326,341684.1,358426.6209
22,Abingdon,VA,229648.90000000002,225346.5,222375.04166666666,223727.37499999997,228522.41666666666,234905.41666666663,241460.58333333328,249670.2916666667,257302.4166666667,268539.7083333334,274665.25,285651.86000000004
23,Abington,MA,369096.3,353927.0,344354.58333333326,356850.33333333326,377029.33333333326,382192.75,405100.0,427528.33333333326,455130.16666666674,466154.75,481809.2,506863.2784
24,Abington Township,PA,328667.56,318264.31666666665,310033.88333333324,312870.30000000005,321778.6666666666,321855.75,326297.3833333334,331101.95,344956.6166666667,353609.0166666667,362523.52,379566.07092
