State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,384005.83437500003,378891.16406250006,380839.9192708334,389727.15104166674,396858.7890625,408018.78385416657,415991.3098958333,416410.79427083326,421051.9375,432042.2578125,443698.62187500007,463452.168946875
AL,Alabama,254725.99569100884,245257.41393671493,237579.1955596816,236947.82909088797,239405.2050432276,243562.2545834178,246550.91335380825,251596.9848404258,258515.97350660647,267832.22410792,276483.7652741516,289864.64870078315
AR,Arkansas,237709.67250673857,233935.96819310545,233207.61524373063,231243.85840548333,231712.4460424134,231892.90810252662,236389.77059483732,239477.03884497145,242722.07608916267,249760.97936137056,255659.1252336447,267185.9759453272
AZ,Arizona,306410.9427555552,281332.1706666667,288688.6696428573,329998.16049868765,352381.60895424813,360032.1702380952,375138.34706257994,388265.8785534591,408640.20384683734,428779.35012437793,452644.7447761192,477602.10143917886
CA,California,646947.2339209886,621924.2082454477,627669.5359096361,715273.9605771684,800502.8979276894,852233.1420417977,917931.3958384119,968297.7554014096,1048048.6715396823,1076377.969999999,1110214.3893571405,1159459.0825346706
CO,Colorado,462492.2337313433,442471.8870206491,440105.42909356754,459675.71362209675,485522.56910306576,519269.2412940507,557567.1554969221,586733.0827192231,629195.8285956006,656315.7387901861,668235.6784263961,697964.8390811703
CT,Connecticut,532222.7488075878,520280.90022784215,493775.0996462264,497511.34355158743,507050.1663149349,507235.4585532405,506401.5686986599,507666.64818417636,510355.68514915684,508510.9130998701,507913.5887159534,532398.5106824901
DC,DC,875662.2619047619,871759.7817460318,894752.9603174602,975183.5912698413,1033250.4087301588,1075324.3095238097,1122663.3412698412,1176534.3134920634,1216004.4166666665,1281487.349206349,1312131.9142857145,1370706.3601571429
DE,Delaware,404873.1818181818,384229.62424242427,366884.1498015873,368636.65922619065,378487.7738095239,384026.93441938184,391962.46783625724,399639.43859649124,409738.6271929825,418784.26754385966,423093.05438596493,445648.7517701754
FL,Florida,408086.63450829394,387804.4014972411,386220.46539337025,420911.2797402931,461905.9967230446,496543.9034706325,527652.1374778535,550587.0601630644,570916.6738404979,586220.6494155355,596408.9307692299,622881.0391414022
