State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,183925.88095238098,182478.89087301586,183276.7738095238,184772.3090909091,188384.18371212116,194110.08522727274,198203.15530303027,198628.96604938273,200698.77222222224,207654.275925926,215389.85555555552,225477.1482044445
AL,Alabama,89206.65672707079,84082.03570349688,81228.15693920775,80827.10850377771,79842.49980645455,81568.21496468155,82400.79695871366,84232.28394774167,87837.39530330131,91796.7912754304,95544.61995305168,100080.42188239441
AR,Arkansas,69822.68056206091,68110.92858099057,67692.21298449607,68532.55238243865,69991.04854545459,71185.18302202849,72496.7487517313,75237.65439117866,77559.0614347813,81417.23735810118,84563.69133126941,88271.44006346754
AZ,Arizona,139478.27080223872,122918.81676731081,122173.88828098621,138426.59272550052,150197.04832175927,154739.12673196362,163374.7825,172966.86875878216,186555.3729302835,199131.63507625269,212843.41372549025,224604.9128169934
CA,California,288683.6465505863,271281.797267957,264538.6003031712,302287.8782317857,343026.96279354696,366396.86174633773,396228.87659686984,422246.95172982116,459906.2446186658,470710.27206486074,483637.7036945808,507440.155860568
CO,Colorado,181431.220349485,172721.12300807305,171807.97113654797,180870.96876645603,192367.98201646944,208939.72849099114,228351.87943578328,246324.91158822726,264730.2239353891,279825.2415565343,288509.9328193833,302063.8962143488
CT,Connecticut,222351.10926703998,211266.347676282,200570.77338836482,200679.52158218113,206238.02479419747,213560.72657928485,214867.11233850123,219771.31692406698,226083.26583333328,228210.3673076923,230633.933076923,241775.64772230756
DC,DC,442089.9666666666,438460.31349206355,436464.284090909,471084.0378787879,505039.70075757575,520596.32954545465,537506.4772727274,560513.5416666667,580347.9696969697,600539.7727272728,611466.9818181819,638724.7035090909
DE,Delaware,201325.89464285714,196717.9314263323,184437.0862068966,182288.94827586206,187668.1822033898,190544.1200564972,194868.28389830512,200273.55084745763,204395.8896174864,212947.04371584702,216409.093442623,227848.38192131158
FL,Florida,119898.11447746876,109300.2525679012,106563.13864221684,116148.615437581,129380.68281404173,140994.33020050125,152550.60973863228,163533.67145919468,174578.90998217475,183459.40980392162,190051.08727272702,198818.38588286945
